year,n,touch_n,touch_mean,no_touch_n,no_touch_mean,paired_days,day_delta
2020,8783,803,4.7602,7980,4.3673,106,-2.5858
2021,10310,952,7.3213,9358,5.6092,140,-0.3554
2022,15252,1378,8.3837,13874,5.5865,123,-0.6893
2023,15317,904,3.7647,14413,3.123,158,0.0024
2024,13230,1510,10.2948,11720,4.5208,121,-0.3001
