ts_code,signal_date,w_z,w_lower,w_upper,w_ma,low_touch
000007.SZ,2020-02-06,-2.3760844011083986,63.45142716195815,90.76127733804208,77.10635225000011,1.0
000632.SZ,2020-02-06,-3.5499297631900615,41.90663943389323,51.186379766106754,46.54650959999999,1.0
000657.SZ,2020-02-06,-2.0705535367430197,25.174553924950708,31.625820875049406,28.400187400000057,1.0
000678.SZ,2020-02-06,-3.813642841341947,30.898630218387346,37.89623558161254,34.39743289999994,1.0
000687.SZ,2020-02-06,-3.152225614688182,18.53901579237864,26.67208890762142,22.60555235000003,1.0
000697.SZ,2020-02-06,-2.3032030677884245,32.641659622484966,51.17721907751506,41.909439350000014,1.0
000890.SZ,2020-02-06,-3.072521508791157,17.014633460614878,23.23542603938515,20.125029750000014,1.0
000918.SZ,2020-02-06,-3.040993531892879,13.102439703845441,18.160660196154517,15.631549949999979,1.0
002042.SZ,2020-02-06,-0.6701931947877324,41.224225095590946,54.52807310440922,47.876149100000085,0.0
002187.SZ,2020-02-06,-0.8703298129419279,17.997075891320737,20.794579508679266,19.3958277,0.0
002563.SZ,2020-02-06,-1.8412052515790889,39.99752995951464,66.45744884048514,53.22748939999989,0.0
300301.SZ,2020-02-06,-3.118614686866961,17.85529076744428,23.72764623255572,20.7914685,1.0
300509.SZ,2020-02-06,-2.852881274882338,24.091404322515814,32.50394367748419,28.297674,1.0
300681.SZ,2020-02-06,-1.0601588912217212,27.335879114669765,36.94737988533036,32.141629500000064,0.0
600107.SH,2020-02-06,-3.036285637827885,15.688835837929414,19.886287962070593,17.787561900000004,1.0
600182.SH,2020-02-06,-2.6272703178751025,17.57143445646671,20.4501707435333,19.010802600000005,1.0
600278.SH,2020-02-06,-2.0270741600261295,20.391969481353865,27.49298111864611,23.942475299999987,1.0
600869.SH,2020-02-06,-3.718767435725496,47.71234383601397,58.95716436398598,53.33475409999998,1.0
603021.SH,2020-02-06,-2.3464135726975477,18.023499695565512,25.78759150443446,21.905545599999986,1.0
603167.SH,2020-02-06,-1.727831110035177,9.962736274107211,13.313063725892793,11.637900000000002,1.0
603239.SH,2020-02-06,-0.3764811438959067,27.127302258648687,38.01251674135142,32.56990950000005,0.0
603300.SH,2020-02-06,-0.26669674553241796,15.018584285252434,23.34886741474754,19.183725849999988,0.0
603333.SH,2020-02-06,-3.2959554329348175,12.7640001356756,18.40841996432438,15.586210049999991,1.0
603663.SH,2020-02-06,-2.718287374386106,16.801229429728757,20.706548970271243,18.7538892,1.0
300473.SZ,2020-02-07,-2.3314395920823743,32.388338907773516,49.61207369222646,41.00020629999999,1.0
603799.SH,2020-02-07,1.2107778477514228,29.000441024385356,90.51320997561467,59.75682550000001,0.0
600229.SH,2020-02-13,0.457418678194734,8.295229414849043,13.50828588515095,10.901757649999997,0.0
300633.SZ,2020-02-20,0.5336913504369176,20.20003294350201,28.16559205649802,24.182812500000015,0.0
300618.SZ,2020-02-24,-0.04807210279612185,105.76056808991893,211.7442614100808,158.75241474999987,0.0
300341.SZ,2020-02-25,-0.22826752975182818,16.066651382879236,85.73890751712077,50.90277945,0.0
600900.SH,2020-02-26,-2.268827239762362,52.655510013958555,57.55843598604138,55.10697299999997,1.0
603899.SH,2020-02-26,-2.6122538544679728,94.13120204318567,109.07656515681445,101.60388360000006,1.0
600223.SH,2020-02-27,0.35988170004042425,6.042877115087837,20.77885118491217,13.410864150000004,0.0
600583.SH,2020-02-27,-0.7700557953487875,106.51097996641681,156.53361343358296,131.52229669999988,0.0
603096.SH,2020-02-27,-2.4912106815349198,55.06958499573021,62.575203504269794,58.82239425,1.0
603305.SH,2020-02-27,0.9101600869683405,18.103994409801384,59.66865709019859,38.88632574999999,0.0
603920.SH,2020-02-27,0.8833219856611211,10.401882418582563,33.05811528141743,21.729998849999994,0.0
000089.SZ,2020-02-28,-2.2746075751551573,57.88026803291053,76.06237436708946,66.97132119999999,1.0
000423.SZ,2020-02-28,-1.8893438571427215,307.95111917578384,379.3716033242151,343.66136124999946,0.0
000538.SZ,2020-02-28,-1.6701087373128263,1364.8308651485968,1645.7271418513965,1505.2790034999966,0.0
000655.SZ,2020-02-28,-0.44709835176334384,26.56510298377872,36.61384501622135,31.589474000000035,0.0
000673.SZ,2020-02-28,-1.1203846925751513,27.690463137124524,74.9824680628755,51.33646560000001,0.0
000681.SZ,2020-02-28,-1.277886310810246,78.96775476935115,112.43027083064923,95.69901280000019,0.0
000700.SZ,2020-02-28,1.0786372390152108,-23.561530710732328,228.00610221073214,102.2222857499999,0.0
