group,n,mkt_ret_mean,mkt_ret_med,mkt_ret20_mean,mkt_ret20_med
TOUCH,5547,-0.02001,-0.01656,-0.00304,-0.00264
NO_TOUCH,57345,-0.01468,-0.01297,-0.00055,-0.00036
