bin,n,mean,median,win,pf,mae,mfe,hold_med,hold_mean,days_und_med,mae_le10,mae_le20,mae_le30,hold_gt60,hold_gt90,pnl_sum,slot_pnl_1k,win_ep_1k
WZ_A_lt_-2,3731,8.059436250402017,7.744553170344879,0.827928169391584,3.039669190327688,-14.462493513395245,11.079840899953373,27.0,34.28946663093004,12.0,0.49584561779683733,0.275797373358349,0.14687751273117128,0.11712677566336104,0.03832752613240418,98200808.2482529,767589.6028284342,24.14526240092548
WZ_B_-2_-1.5,8590,5.7063484628549705,5.815248022603039,0.79988358556461,2.1260712912032425,-12.70218550142686,9.266450263274118,26.0,32.73480791618161,13.0,0.4520372526193248,0.220139697322468,0.10582072176949942,0.1060535506402794,0.03119906868451688,131047953.41221775,466044.3875082426,24.43526131611141
WZ_C_-1.5_-1,14295,5.114827464378788,5.656540136098487,0.7889471843301854,1.7360273344989883,-12.156265456327347,9.073116427293508,24.0,32.16096537250787,11.0,0.4187478139209514,0.20447708989157048,0.10486183980412732,0.13130465197621546,0.033368310598111225,159033383.9966243,345919.5155459798,24.53120343845774
WZ_D_-1_0,22153,4.661102341653981,5.070501167337251,0.7704148422335575,1.6711621817724045,-11.978699966565717,8.468008904107275,25.0,32.33440166117456,13.0,0.4161513113348079,0.19004198077009885,0.09687175551843993,0.13005010608044057,0.03331377240102921,220706105.02276906,308117.9290116613,23.82647590966964
WZ_E_ge_0,14123,3.446574956891653,3.926628038476522,0.6707498406854068,1.2709879632110843,-12.21713139354784,8.1966941001286,23.0,29.595836578630603,11.0,0.4341145648941443,0.19443461021029526,0.09268569000920485,0.11831763789563124,0.03101324081285846,62322920.82233058,149104.31746422235,22.663655372719397
