state,n,coverage,ind_mean,ind_win,ind_mae,ind_hold
Q0_EXPIRED_TP,20,100.0,7.757340157039799,95.0,-3.593567481298585,17.85
Q1_EXACT_ELIGIBLE,9,33.33333333333333,3.7170693800738555,66.66666666666666,-22.82976628922397,40.0
Q2_OVERSOLD_NOT_TOP10,8,37.5,8.842550502634575,100.0,-7.031773761728599,21.666666666666668
Q3_NO_LONGER_OVERSOLD,299,32.441471571906355,4.452188086630753,70.10309278350515,-14.678728031756187,41.68041237113402
