signal_date,forced_atr_stock,baseline_stock,queued_on_date,blocked_k_on_date,counterfactual_pnl,baseline_pnl,delta_pnl
2021-02-25,002594.SZ,300059.SZ,002594.SZ,300059.SZ,-68430.69675105627,302950.9378612245,-371381.63461228076
2021-04-15,600276.SH,601166.SH,600276.SH,"601166.SH,601318.SH",-133363.74688348593,302950.9378612245,-436314.68474471045
2021-05-24,002714.SZ,000661.SZ,002714.SZ,000661.SZ,115060.73674941433,302950.9378612245,-187890.2011118102
2021-11-16,000625.SZ,600030.SH,000625.SZ,600030.SH,153606.70505605437,302950.9378612245,-149344.23280517015
2022-03-03,300014.SZ,000858.SZ,300014.SZ,000858.SZ,277101.10101427464,302950.9378612245,-25849.836846949882
2022-10-12,002371.SZ,600519.SH,002371.SZ,"600519.SH,600036.SH",234142.4705999544,302950.9378612245,-68808.46726127013
