date,ts_code,action,level,shares,price
2021-05-25,000661.SZ,INITIAL_ENTRY,1,400,424.644
2021-05-28,000661.SZ,ADD_POSITION,2,400,416.957
2021-06-01,600031.SH,TAKE_PROFIT_DYN,1,7200,31.588
2021-06-08,002340.SZ,INITIAL_ENTRY,1,20400,9.76
2021-06-08,002594.SZ,TAKE_PROFIT_DYN,2,2500,203.287
2021-06-10,002340.SZ,ADD_POSITION,2,21000,9.489
2021-06-15,600031.SH,INITIAL_ENTRY,1,7000,28.288
2021-06-16,002340.SZ,ADD_POSITION,3,21700,9.189
2021-06-17,600031.SH,ADD_POSITION,2,2900,26.947
2021-07-06,002340.SZ,TAKE_PROFIT_DYN,3,63100,9.99
2021-07-07,000661.SZ,ADD_POSITION,3,500,357.367
2021-07-09,600031.SH,ADD_POSITION,3,7900,25.185
2021-07-09,000858.SZ,INITIAL_ENTRY,1,700,269.719
2021-07-19,000661.SZ,TAKE_PROFIT_DYN,3,1300,411.468
2021-07-23,002241.SZ,INITIAL_ENTRY,1,5200,38.398
2021-07-27,000858.SZ,ADD_POSITION,2,800,247.247
2021-07-29,000858.SZ,ADD_POSITION,3,800,245.685
2021-08-03,600031.SH,TAKE_PROFIT_DYN,3,17800,27.972
2021-08-05,002241.SZ,TAKE_PROFIT_DYN,1,5200,42.408
2021-08-17,300750.SZ,INITIAL_ENTRY,1,400,485.485
2021-08-17,002460.SZ,INITIAL_ENTRY,1,1200,163.063
