date,ts_code,action,level,shares,price
2021-05-25,002714.SZ,INITIAL_ENTRY,1,2200,90.04
2021-05-25,600519.SH,TAKE_PROFIT_DYN,1,100,2162.345
2021-05-26,000651.SZ,INITIAL_ENTRY,1,3500,55.956
2021-06-08,002594.SZ,TAKE_PROFIT_DYN,3,3500,203.287
2021-06-15,600031.SH,INITIAL_ENTRY,1,7000,28.288
2021-06-17,600031.SH,ADD_POSITION,2,7400,26.947
2021-06-18,002714.SZ,ADD_POSITION,2,3400,58.659
2021-06-21,000651.SZ,ADD_POSITION,2,3800,52.532
2021-06-22,002714.SZ,ADD_POSITION,3,300,54.715
2021-07-09,600031.SH,ADD_POSITION,3,100,25.185
2021-08-03,600031.SH,TAKE_PROFIT_DYN,3,14500,27.972
2021-08-17,002460.SZ,INITIAL_ENTRY,1,1200,163.063
