date,b0_holdings,b1_holdings,b0_eq,b1_eq
2022-01-20,002594.SZ|300750.SZ|601012.SH,000625.SZ|002594.SZ|601012.SH,1352920.1419013925,932954.3743782815
2022-01-21,002594.SZ|300750.SZ|601012.SH,000625.SZ|002594.SZ|601012.SH,1341858.1419013925,915836.3743782815
2022-01-24,002594.SZ|300750.SZ|601012.SH,000625.SZ|002594.SZ|601012.SH,1352696.1419013925,920756.3743782815
2022-01-25,002594.SZ|300750.SZ|601012.SH,000625.SZ|002594.SZ|601012.SH,1318113.1419013925,889096.3743782815
2022-01-26,002594.SZ|300750.SZ|601012.SH,000625.SZ|002594.SZ|601012.SH,1357547.1419013925,914258.3743782815
2022-01-27,002594.SZ|300750.SZ|601012.SH,000625.SZ|002594.SZ|601012.SH,1324997.1419013925,883938.3743782815
2022-01-28,002594.SZ|300750.SZ|601012.SH,000625.SZ|002594.SZ|601012.SH,1295001.1419013925,849623.3743782815
2022-02-07,002594.SZ|300750.SZ|601012.SH,000625.SZ|002594.SZ|601012.SH,1331815.1252360325,885020.3743782815
2022-02-08,002594.SZ|300750.SZ|601012.SH,000625.SZ|002594.SZ|601012.SH,1285229.1252360325,873423.3743782815
2022-02-09,002594.SZ|300750.SZ|601012.SH,000625.SZ|002594.SZ|601012.SH,1298779.1252360325,883544.3743782815
2022-02-10,002594.SZ|300750.SZ|601012.SH,000625.SZ|002594.SZ|601012.SH,1252379.1252360325,864171.3743782815
2022-02-11,002594.SZ|300750.SZ|601012.SH,000625.SZ|002594.SZ|601012.SH,1192849.1252360325,831585.3743782815
2022-02-14,002594.SZ|300750.SZ|601012.SH,000625.SZ|002594.SZ|601012.SH,1208209.1252360325,824162.3743782815
2022-02-15,002594.SZ|300750.SZ|601012.SH,000625.SZ|002594.SZ|601012.SH,1254979.1252360325,856696.3743782815
2022-02-16,002594.SZ|300750.SZ|601012.SH,000625.SZ|002594.SZ|601012.SH,1257681.1252360325,859865.3743782815
