taxonomy,days,candidate_events,pct_of_signal_days
NO_OVERSOLD_IN_TOP10,865,0,71.36963696369637
FULL_BLOCK,225,371,18.564356435643564
NO_CONTENTION,58,68,4.785478547854786
HELD_CONFLICT_ONLY,48,48,3.9603960396039604
SOFT_CONTENTION,16,43,1.3201320132013201
