hypothesis_id,family,regime_dimension,regime_variable,regime_formula,regime_bin,oversold_feature,oversold_bin,oversold_range,forward_horizon,outcome_type,benchmark,test,fdr_family
P0001,PRIMARY,TREND,ret20,ret20=idx[T]除以idx[T-20]后减1; idx=全A等权净值(§4); UP=ret20>+0.03; SIDEWAYS=-0.03<=ret20<=+0.03; DOWN=ret20<-0.03; 信息集=T日收盘含T,UP,BB_zscore,B1,-2.0<z<=-1.5,5D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0002,PRIMARY,TREND,ret20,ret20=idx[T]除以idx[T-20]后减1; idx=全A等权净值(§4); UP=ret20>+0.03; SIDEWAYS=-0.03<=ret20<=+0.03; DOWN=ret20<-0.03; 信息集=T日收盘含T,UP,BB_zscore,B1,-2.0<z<=-1.5,10D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0003,PRIMARY,TREND,ret20,ret20=idx[T]除以idx[T-20]后减1; idx=全A等权净值(§4); UP=ret20>+0.03; SIDEWAYS=-0.03<=ret20<=+0.03; DOWN=ret20<-0.03; 信息集=T日收盘含T,UP,BB_zscore,B2,-2.5<z<=-2.0,5D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0004,PRIMARY,TREND,ret20,ret20=idx[T]除以idx[T-20]后减1; idx=全A等权净值(§4); UP=ret20>+0.03; SIDEWAYS=-0.03<=ret20<=+0.03; DOWN=ret20<-0.03; 信息集=T日收盘含T,UP,BB_zscore,B2,-2.5<z<=-2.0,10D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0005,PRIMARY,TREND,ret20,ret20=idx[T]除以idx[T-20]后减1; idx=全A等权净值(§4); UP=ret20>+0.03; SIDEWAYS=-0.03<=ret20<=+0.03; DOWN=ret20<-0.03; 信息集=T日收盘含T,UP,BB_zscore,B3,-3.0<z<=-2.5,5D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0006,PRIMARY,TREND,ret20,ret20=idx[T]除以idx[T-20]后减1; idx=全A等权净值(§4); UP=ret20>+0.03; SIDEWAYS=-0.03<=ret20<=+0.03; DOWN=ret20<-0.03; 信息集=T日收盘含T,UP,BB_zscore,B3,-3.0<z<=-2.5,10D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0007,PRIMARY,TREND,ret20,ret20=idx[T]除以idx[T-20]后减1; idx=全A等权净值(§4); UP=ret20>+0.03; SIDEWAYS=-0.03<=ret20<=+0.03; DOWN=ret20<-0.03; 信息集=T日收盘含T,UP,BB_zscore,B4,z<=-3.0,5D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0008,PRIMARY,TREND,ret20,ret20=idx[T]除以idx[T-20]后减1; idx=全A等权净值(§4); UP=ret20>+0.03; SIDEWAYS=-0.03<=ret20<=+0.03; DOWN=ret20<-0.03; 信息集=T日收盘含T,UP,BB_zscore,B4,z<=-3.0,10D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0009,PRIMARY,TREND,ret20,ret20=idx[T]除以idx[T-20]后减1; idx=全A等权净值(§4); UP=ret20>+0.03; SIDEWAYS=-0.03<=ret20<=+0.03; DOWN=ret20<-0.03; 信息集=T日收盘含T,SIDEWAYS,BB_zscore,B1,-2.0<z<=-1.5,5D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
P0010,PRIMARY,TREND,ret20,ret20=idx[T]除以idx[T-20]后减1; idx=全A等权净值(§4); UP=ret20>+0.03; SIDEWAYS=-0.03<=ret20<=+0.03; DOWN=ret20<-0.03; 信息集=T日收盘含T,SIDEWAYS,BB_zscore,B1,-2.0<z<=-1.5,10D,otc,same_oversold_unconditional,t_HAC+FDR(BH)_q005+block_bootstrap,PRIMARY
