ts_code,entry_date,match,frozen_exit,v2a_exit,frozen_type,v2a_type,frozen_ret,v2a_ret,ok
000002.SZ,2020-03-19,MATCH,2020-06-02,2020-06-02,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,4.68,4.681297620587952,True
000002.SZ,2022-03-07,MATCH,2022-03-31,2022-03-31,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,14.89,14.88504791739044,True
000063.SZ,2020-03-18,MATCH,2020-05-07,2020-05-07,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,3.24,3.2396956676295363,True
000063.SZ,2020-05-26,MATCH,2020-06-18,2020-06-18,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,8.36,8.355437860095789,True
000063.SZ,2020-09-11,MATCH,2020-10-13,2020-10-13,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,8.17,8.16654508112372,True
000063.SZ,2023-07-21,MATCH,2024-02-22,2024-02-22,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,-20.14,-20.144973123840867,True
000063.SZ,2024-08-23,MATCH,2024-09-23,2024-09-23,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,3.4,3.3955801711335427,True
000063.SZ,2025-03-04,MATCH,2025-05-07,2025-05-07,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,2.6,2.6037524048102836,True
000100.SZ,2024-05-08,MATCH,2024-09-27,2024-09-27,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,6.43,6.430946014868081,True
000333.SZ,2021-02-23,MATCH,2021-04-02,2021-04-02,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,1.12,1.124921971714471,True
000333.SZ,2021-07-06,MATCH,2021-10-22,2021-10-22,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,11.18,11.175030722164129,True
000568.SZ,2022-10-11,MATCH,2022-12-01,2022-12-01,TAKE_PROFIT_DYN,TAKE_PROFIT_DYN,5.89,5.894426001503926,True
