dim,group,label,n,mean,median,win_rate,p10,p25,p75,p90,mean_hold,median_hold,mean_pnl,profit_factor,expected_ret
amount_quintile,Q5,,299,5.001824654120057,5.23244617556544,75.91973244147158,-6.738710068035835,0.6475515518912216,10.3495643269165,17.283071003413042,34.53511705685619,28.0,9825.504707328024,1.6026376147382142,5.001824654120057
oversold_bin,B2,,186,5.231210715630755,5.428529760595904,75.26881720430107,-7.833877355293391,0.5065232327340676,11.020042804872887,18.56367105683292,34.365591397849464,28.0,10446.043033234902,1.6509018460851206,5.231210715630755
oversold_bin,B3,,84,4.270326289984783,3.8125124212069617,77.38095238095238,-6.16143839252158,0.8881452669872715,8.593766199670215,12.835789833599328,34.726190476190474,27.0,7832.27421283079,1.562314273369624,4.270326289984783
oversold_bin,B4,,29,5.649412762615694,6.916188828671841,75.86206896551724,-11.79561962114642,1.4169185149017833,12.104633410839133,19.211158698134835,35.06896551724138,26.0,11618.995497641426,1.4680481577856197,5.649412762615694
industry,IT设备,,9,5.649242617408188,7.15509150196319,88.88888888888889,1.0486032791787308,3.5450375895839463,7.706372017077919,9.917283800748763,34.44444444444444,28.0,18358.599648340067,14.121963114035118,5.649242617408188
industry,乳制品,,1,6.706648715667189,6.706648715667189,100.0,6.706648715667189,6.706648715667189,6.706648715667189,6.706648715667189,29.0,29.0,39977.748472680105,inf,6.706648715667189
industry,互联网,,3,16.596621101542897,17.471539089853273,66.66666666666666,-2.1934661045193034,5.1809108433704125,28.44979035387057,35.03674111228095,26.333333333333332,34.0,89449.13124342001,10.604040361679315,16.596621101542897
industry,仓储物流,,1,1.806031845385725,1.806031845385725,100.0,1.806031845385725,1.806031845385725,1.806031845385725,1.806031845385725,22.0,22.0,7090.91782740003,inf,1.806031845385725
industry,保险,,8,0.4793664826313533,3.270187740362726,50.0,-10.054534787535909,-1.587489958506711,8.434592508015122,10.059495077329343,44.125,28.0,-16730.653138807447,0.5589703825668144,0.4793664826313533
industry,元器件,,22,3.252066108692878,4.5557213708854505,86.36363636363636,-2.110006293726299,1.8464536569349952,7.129565223723847,9.076705391186692,34.45454545454545,29.5,5205.612995116415,1.3532045001667994,3.252066108692878
industry,全国地产,,2,9.783172768989196,9.783172768989196,100.0,5.701672650268201,7.232235194788574,12.334110343189817,13.86467288771019,33.5,33.5,68612.78664009017,inf,9.783172768989196
industry,其他建材,,1,-5.965240206705305,-5.965240206705305,0.0,-5.965240206705305,-5.965240206705305,-5.965240206705305,-5.965240206705305,44.0,44.0,-35551.88611758,0.0,-5.965240206705305
industry,农业综合,,3,-16.94311353760325,-18.715268930191936,33.33333333333333,-33.62026807258499,-28.030893394187594,-6.741411377313248,0.4429031544139663,47.0,28.0,-75753.36805487989,0.12011962837341338,-16.94311353760325
industry,农药化肥,,1,18.801769360068377,18.801769360068377,100.0,18.801769360068377,18.801769360068377,18.801769360068377,18.801769360068377,13.0,13.0,37543.62380832003,inf,18.801769360068377
industry,化学制药,,12,4.5797233659304295,6.915188128659548,75.0,-6.142337112437274,1.074211616199615,10.814121833260556,16.10760805066171,27.75,18.5,-4945.5426877949185,0.8381065798053835,4.5797233659304295
industry,化工原料,,3,8.434642087585479,6.913448021154776,100.0,3.664457719133694,4.8828290823916,11.225858059564006,13.813304082609545,17.333333333333332,18.0,26913.828158760076,inf,8.434642087585479
industry,医疗保健,,3,19.29377835522746,25.243095200327115,100.0,10.275728883642852,15.88849125239945,25.673723880605294,25.9321010887722,27.666666666666668,19.0,64360.28451342005,inf,19.29377835522746
industry,半导体,,19,5.6688389134828965,4.700284102162052,68.42105263157895,-4.4587841912759005,-1.164001820839171,13.966199070263897,19.280900567065977,28.63157894736842,26.0,14563.88884279899,3.1135228497508316,5.6688389134828965
industry,家用电器,,11,5.068252312006435,7.18749636223901,90.9090909090909,1.124921971714471,4.272361274646345,9.925746311666625,11.175030722164129,31.09090909090909,25.0,5797.232987301855,1.3383124049953417,5.068252312006435
industry,小金属,,15,10.057309653140324,7.327370162653349,93.33333333333333,0.9855638940163262,2.0649172861051213,15.54622002387445,23.32641359969912,29.533333333333335,28.0,26007.003798240057,3.9752454242877784,10.057309653140324
industry,工程机械,,2,3.2305472457669016,3.2305472457669016,100.0,2.268310761691634,2.629149443219859,3.8319450483139437,4.192783729842169,45.0,45.0,21280.506399540114,inf,3.2305472457669016
industry,建筑工程,,2,11.245252031549095,11.245252031549095,50.0,-15.501942349747413,-5.471744456761222,27.96224851985941,37.9924464128456,37.0,37.0,67038.52159224014,2.0201418575971135,11.245252031549095
industry,旅游服务,,3,7.601090555174518,7.8045788936873635,100.0,7.309590401280848,7.495211085933291,7.808714193672168,7.81119537366305,39.333333333333336,33.0,38033.41410672004,inf,7.601090555174518
industry,机场,,2,-6.417334566883298,-6.417334566883298,0.0,-10.642849479950282,-9.058281387550164,-3.7763877462164332,-2.191819653816314,87.0,87.0,-63578.36694653978,0.0,-6.417334566883298
industry,水力发电,,1,8.228584541518643,8.228584541518643,100.0,8.228584541518643,8.228584541518643,8.228584541518643,8.228584541518643,10.0,10.0,16431.771248640027,inf,8.228584541518643
industry,水运,,3,8.902086160306693,3.0377221934720415,100.0,1.990387745836995,2.3831381637001376,12.488852173495921,18.15953016151025,38.333333333333336,39.0,38916.63010098013,inf,8.902086160306693
industry,汽车整车,,16,6.6334962897338245,9.850208463615408,68.75,-9.929267960179585,-1.7543853187745861,16.39250634332759,18.26696822170772,49.375,35.5,2621.2750351425548,1.0970256588309517,6.6334962897338245
industry,生物制药,,6,7.680018126870096,7.8449265593183055,83.33333333333334,-1.5513895125891213,3.9885649019191685,11.515419234243158,16.746517333881105,32.5,32.5,19562.23399140003,2.81966406439983,7.680018126870096
industry,电信运营,,1,-4.102896566069308,-4.102896566069308,0.0,-4.102896566069308,-4.102896566069308,-4.102896566069308,-4.102896566069308,30.0,30.0,-8201.42768411999,0.0,-4.102896566069308
industry,电气设备,,42,1.7048189298817205,3.2202958980692804,61.904761904761905,-14.08485755737084,-5.413541681419851,8.693690418155711,13.202199287369668,44.357142857142854,35.0,-7927.307343141346,0.7652680108964995,1.7048189298817205
industry,白酒,,33,5.6567389682980735,4.558943908999476,81.81818181818183,-4.4206622324066505,1.1120117479146117,9.447704740723928,13.055259710625835,32.27272727272727,27.0,17301.940901367354,3.2344294579441932,5.6567389682980735
industry,船舶,,1,18.45144203997828,18.45144203997828,100.0,18.45144203997828,18.45144203997828,18.45144203997828,18.45144203997828,7.0,7.0,73007.00905806012,inf,18.45144203997828
industry,证券,,20,2.7903998200164315,3.6383461143895826,80.0,-2.169883897803235,1.1640140557188128,5.651526985435747,6.910054505001128,25.75,20.5,7906.822980759054,2.4854267874083935,2.7903998200164315
industry,软件服务,,9,7.401810089163557,5.3407176576942215,77.77777777777779,-3.829650134068336,2.6716085217561965,12.935015317595871,16.80596239344928,24.333333333333332,24.0,19099.64197310005,4.163759249041099,7.401810089163557
