layer_bucket,n,o1_mean_delta,o1_eventday,mean_baseline
layer1,984,-5.277471725665332,-6.434855363913713,0.40935533438652755
layer2,2669,-3.4971032063712384,-4.354243012362081,0.24632219819175064
layer3plus,8937,-2.0632021857645007,-1.0029841066156773,-5.472639072758795
