oracle,anchor_day,day_delta
O1,45,-0.39728585195036814
O1,46,-0.11591171820846391
O1,47,-5.810060430377817
O1,49,0.6900887696575229
O1,50,-2.7823554864322944
O1,51,-8.290636869640322
O1,52,-5.16870918897133
O1,53,-16.54340443688867
O1,54,-15.872083263981967
O1,56,-6.398048260622246
O1,58,1.5296978857145367
O1,59,-5.522854137627622
O1,60,13.282292020099632
O1,65,1.2328405023496476
O1,66,-9.16689159494965
O1,70,-2.23276192998782
O1,71,5.240804533913016
O1,72,9.015700367363953
O1,73,-11.623839467072964
O1,74,-8.611917136224385
O1,75,-2.8421286926610865
O1,76,-3.9726517625512274
O1,77,-9.566878934957114
O1,78,-9.481128309567492
O1,79,-7.801879727606836
O1,80,-8.06704869121474
O1,81,-12.16943716946307
O1,83,-4.754369527415222
O1,86,-9.879581426643838
O1,87,-10.065974945371199
O1,88,-14.603809886782603
O1,89,-6.2602759029465425
O1,90,-9.227495346936841
O1,91,-7.142029681897962
O1,92,-2.709816405333603
O1,93,-6.834197016601072
O1,96,-1.2579133311370985
O1,99,-10.8316201046009
O1,102,-2.4994475784195807
O1,106,-6.146396712927923
O1,109,-15.82161353981834
O1,115,-4.241944899170843
O1,118,-20.619293132844277
O1,119,-3.011247709423049
O1,135,-6.963633056327777
O1,144,0.0
O1,148,-13.923783266768005
O1,150,-12.598564994832568
O1,155,-6.918000803766873
O1,157,-5.741676712652083
O1,158,-3.4208598293432066
O1,164,-12.172197055763855
O1,165,-5.657537104741058
O1,166,-5.561827890507304
O1,167,-3.9567293584458114
O1,168,-2.5886395375278983
O1,169,1.859558529216556
O1,172,4.656443251221223
O1,173,9.81262325017095
O1,174,-4.43139223236557
O1,178,-3.320734232739863
O1,179,-4.480192447359081
O1,180,-7.576334416700814
O1,181,-8.276785629719363
O1,182,-3.7208307246163783
O1,183,6.39039070535762
O1,186,-11.953681613061896
O1,187,0.0
O1,188,-5.992645838124729
O1,189,7.57114593461088
O1,190,2.2430682455377733
O1,191,-2.4515931939112683
O1,192,2.784276485473658
O1,193,-10.019413423623535
O1,194,-3.5866085123212357
O1,195,-0.4045520401345851
O1,196,-3.8713171368480386
O1,197,-7.260413674726361
O1,198,-4.242838448647029
O1,199,-4.513321461453654
O1,200,-2.3918830683410004
O1,201,8.462756279944749
O1,202,5.871574213299347
O1,204,-7.592313475130861
O1,206,-3.9590010168035175
O1,207,-1.8520780484262147
O1,208,5.711848098287305
O1,210,-3.5032119527919883
O1,211,-14.373959530017839
O1,212,-0.8381304636456894
O1,215,1.20509898578106
O1,216,-5.5719455725493
O1,217,-12.785789546551172
O1,218,-0.24926332849531116
O1,219,1.7459237191735468
O1,221,-10.921721291778008
O1,224,-16.499990411018658
O1,225,-3.4004278366874057
O1,226,8.556161020949562
O1,227,2.9572416326944873
O1,228,2.180062367607808
O1,229,-2.983548032899501
O1,230,11.327095883636115
O1,231,-2.385132242731078
O1,232,4.011548017822735
O1,233,-4.689591969574202
O1,234,0.6220141767675699
O1,235,-1.1652478273305613
O1,236,3.3677433488229176
O1,237,-1.7514569731101965
O1,238,-2.791105480069625
O1,239,-3.947653425930506
O1,240,-4.244808614133001
O1,241,-1.7870637765639157
O1,242,8.472463837333965
O1,243,-8.449928050188586
O1,244,-4.329459871597489
O1,245,-4.670850300390591
O1,246,-5.927648000875434
O1,247,-2.667425276525441
O1,248,-6.068345290861415
O1,249,-2.35767313543106
O1,250,-5.712377115825701
O1,251,-2.9968868235689627
O1,252,4.508182601423469
O1,253,-3.0791247853741828
O1,254,-1.2227630372171305
O1,257,-4.216595309694212
O1,258,-4.016201844829999
O1,259,-3.2046628053327075
O1,260,-4.862508881763544
O1,261,-7.1576361460579125
O1,262,-6.125471917798851
O1,263,-4.772908630799385
O1,264,-5.016369426271231
O1,265,-6.934581376006714
O1,266,-5.1997926610311165
O1,267,-3.9101571247911697
O1,268,-2.456632644073707
O1,269,-5.036953919094059
O1,270,-7.429758156625138
O1,275,-1.065158605870165
O1,277,-5.294001680341695
O1,283,-6.674150210826209
O1,284,-2.9465796007254923
O1,285,-4.770869633845604
O1,286,-2.174497601330265
O1,287,-10.723587852221792
O1,288,-6.327053631150416
O1,289,-5.47466335098855
O1,290,-6.000040250349465
O1,291,-7.354076509122874
O1,292,-4.061671850095333
O1,293,-4.483787251044679
O1,294,-3.4508911356486873
O1,295,-5.404685567245699
O1,296,1.1658380652400209
O1,300,-4.870171866073554
O1,306,-16.979145419946796
O1,307,-7.576971841483408
O1,308,-10.326835964468126
O1,309,-2.113032779966477
O1,310,-2.9780816956816745
O1,311,-2.409623672942641
O1,313,-20.666738246037802
O1,314,0.0
O1,316,-6.279554418032648
O1,317,-5.537415154894503
O1,318,-3.942638496435322
O1,319,-2.3861862446143247
O1,320,-9.131624327828032
O1,321,-2.2884859196591427
O1,322,-8.479221930049356
O1,323,-8.346885773249799
O1,324,-3.8437670279773095
O1,325,-3.3407965442330774
O1,326,-4.547894267634237
O1,328,0.0
O1,329,-6.148924373896612
O1,331,8.018163774464613
O1,332,2.466071506890719
O1,335,11.515686503409007
O1,339,-3.7302203460793404
O1,343,4.8174917380764875
O1,348,-1.352142128337002
O1,349,7.899001327300275
O1,350,2.0567300868574963
O1,351,-13.527277067941757
O1,352,-2.599690496111924
O1,353,7.543419322856453
O1,356,1.2803933266956662
O1,357,-3.012312306698713
O1,360,-4.783141196537969
O1,361,0.0
O1,362,-7.864682016830356
O1,363,-1.6106047818279745
O1,364,0.04809792550895864
O1,365,-1.4289912278872077
O1,366,-1.0806873272643298
O1,367,0.5623039889747995
O1,368,0.3151908280448057
O1,371,-5.109244211502974
O1,372,-13.184018144065504
O1,373,-3.7767619968023944
O1,374,9.828886851004954
O1,375,6.3752296433303135
O1,376,2.545136607977618
O1,377,-6.787897726204586
O1,378,-4.193477526487139
O1,379,-4.315264288021679
O1,380,-4.399634052006292
O1,381,-10.519867947840671
O1,382,-4.292243336158607
O1,383,-2.7047827260179096
O1,384,-2.089044426050174
O1,386,-3.352845537841177
