recovery_definition,n,mean,median,p90
RECOVER_CLOSE,1523.0,-30.299146557532517,-29.486755056674415,-14.870706075787474
RECOVER_TOUCH,2075.0,-28.264008123918483,-27.791992984009678,-13.667730704139906
FINAL_PROFIT,4616.0,-24.573082980353234,-22.423792484759566,-13.47638235176671
