oracle,point,boot_mean,ci_lo,ci_hi,L,B
O1,-2.280865783996554,-2.271003052406205,-3.030812335559154,-1.4424338316763208,21,2000
O2,-5.188390502431361,-5.183454710165208,-6.261772651180875,-4.0903007740224755,21,2000
O3,-4.813058212507443,-4.808128125570761,-5.867164737747859,-3.735660765098716,21,2000
