state,quintile,n,o1_delta,o1_eventday,baseline
R01,Q1,8963,-2.805230787432824,-2.8357899848565107,-1.6539082344980853
R01,Q2,1551,-1.8722051049380617,-2.1007551704400234,-9.939486633561952
R01,Q3,1180,-2.2290463337537503,-2.541059323133017,-8.349939890246512
R01,Q4,635,-2.567779583106297,-1.0848944839155474,-8.474437795245802
R01,Q5,193,-1.6102021866885459,-1.9268328436513318,-10.124310068973601
R05,Q1,1002,-1.175225152570038,-1.1899050645081655,-8.639533025341963
R05,Q2,703,-2.1956077502198745,-1.4627181667353157,-9.748415209241319
R05,Q3,1594,-1.5793472590527777,-2.482407108309444,-9.2587179011494
R05,Q4,1732,-3.1540464943844526,-3.0323120813150553,-7.601179926249135
R05,Q5,7559,-2.945397891196338,-3.456840771456865,-0.5840915262667395
