threshold,feature,n_win,n_los,win_mean,los_mean,cohen_d
0.2,F_CUR_MAE,1523,11067,-0.22375603156107435,-0.21769014932200975,-0.3337944859128279
0.2,F_DAYS_SINCE_ENTRY,1523,11067,15.535784635587657,32.05141411403271,-0.8362927279354233
0.2,F_DAYS_SINCE_FIRST_D10,1523,11067,5.994090610636901,16.23737236830216,-0.740798423712977
0.2,F_DIST_MA20,1523,11067,-0.20303870840721727,-0.1367187671396633,-1.0491936101189334
0.2,F_DIST_LBB,1523,11067,-0.05681176841676869,-0.030825789147825255,-0.5040963380805691
0.2,F_RET3,1523,11067,-0.12396809156591691,-0.08496918679327857,-0.7547379977446966
0.2,F_RET5,1523,11067,-0.168910286520359,-0.10516113180304504,-1.0170729092829671
0.2,F_RET20,1523,11067,-0.26007424243508465,-0.1858593639602178,-0.9421134609328221
0.2,F_REB3,1523,11067,0.038550543324183284,0.0199396827596105,0.6970372725162888
0.2,F_REB5,1523,11067,0.038550543324183284,0.0199396827596105,0.6970372725162888
0.2,F_NLOW10,1523,11067,4.72225869993434,3.9666576307942534,0.37392777313765624
0.2,F_DAYS_SINCE_LOW,1523,11067,0.0,0.0,
0.2,F_AMT_RATIO20,1523,11067,1.0760945842739407,1.2159892090148556,-0.18527186526188452
0.2,F_ATR20_PCT,1523,11067,0.06699115167950168,0.04668985244697488,1.1333333697997536
0.2,F_INTRADAY_RANGE,1523,11067,0.0971425297831998,0.061731927401510435,1.0839394700745637
0.2,F_RV20,1523,11067,3.4257612070058876,2.5541336149861498,0.958548747218377
0.2,F_DAYS_UNDERWATER,1523,11067,12.160210111621799,27.553176109153338,-0.9131583616576037
0.2,F_DIST_AVGCOST,1523,11067,-0.14838431524490492,-0.1495258857057739,0.02776823734041945
0.3,F_CUR_MAE,480,5650,-0.3272553147872577,-0.32103048621447866,-0.3115640074798453
0.3,F_DAYS_SINCE_ENTRY,480,5650,16.366666666666667,41.576814159292034,-0.9948410769898735
0.3,F_DAYS_SINCE_FIRST_D10,480,5650,7.7375,26.034690265486727,-0.90858540946807
0.3,F_DIST_MA20,480,5650,-0.2706555861003968,-0.18463596910581503,-1.078211705935539
0.3,F_DIST_LBB,480,5650,-0.08228988959576791,-0.0517214018102406,-0.5070487485550463
0.3,F_RET3,480,5650,-0.15732535740457446,-0.11501784010726411,-0.6937965396809284
0.3,F_RET5,480,5650,-0.22772988650624526,-0.1507835709593046,-0.9722349573071177
0.3,F_RET20,480,5650,-0.34047069438800903,-0.24528276502485816,-1.0215287292933775
0.3,F_REB3,480,5650,0.06486555596489403,0.026997650825437616,1.0673577434706067
0.3,F_REB5,480,5650,0.06486555596489403,0.026997650825437616,1.0673577434706067
0.3,F_NLOW10,480,5650,5.770833333333333,4.568672566371681,0.6110035562591755
0.3,F_DAYS_SINCE_LOW,480,5650,0.0,0.0,
0.3,F_AMT_RATIO20,480,5650,1.1908874835850705,1.3113493040088025,-0.1390809097931543
0.3,F_ATR20_PCT,480,5650,0.08215296573519826,0.05635949958177461,1.3555127601440293
0.3,F_INTRADAY_RANGE,480,5650,0.1288089255519301,0.07967797789440267,1.187592258956872
0.3,F_RV20,480,5650,3.9670724404419446,2.9706722165290453,1.0915182210722532
0.3,F_DAYS_UNDERWATER,480,5650,13.391666666666667,36.86106194690265,-1.0282747491210769
0.3,F_DIST_AVGCOST,480,5650,-0.20715065738371982,-0.22707724058266995,0.39727286404104856
