threshold,feature,n_episodes,n_anchor_days,corr,day_corr,hac_p,beta
0.2,F_CUR_MAE,12590,355,-0.09529439623598539,-0.21307236145966296,0.10212140271179357,-5.192072590518132
0.2,F_DAYS_SINCE_ENTRY,12590,355,-0.31933549056736615,-0.32134510123435095,0.021527068877566762,-0.0036951602385150027
0.2,F_DAYS_SINCE_FIRST_D10,12590,355,-0.3219566465663323,-0.3576806597577247,0.014079690934964969,-0.004784452483658866
0.2,F_DIST_MA20,12590,355,-0.31743705472892986,-0.3474370099183921,0.004975546817299142,-1.4471768928717865
0.2,F_DIST_LBB,12590,355,-0.17189693747728158,-0.08029661163787732,0.16187472281989568,-0.752200272718131
0.2,F_RET3,12590,355,-0.24640914687410292,-0.25355870358103,0.017148359903661974,-1.3247508489527773
0.2,F_RET5,12590,355,-0.30543748113536295,-0.2773677848812312,0.011052158200732553,-1.5051146835139562
0.2,F_RET20,12590,355,-0.29789680288556636,-0.35475106426953174,0.008650085299096527,-0.9675869493024172
0.2,F_REB3,12590,355,0.13810535635553448,0.19200055340367486,0.007106973657844124,2.094715957039387
0.2,F_REB5,12590,355,0.13810535635553448,0.19200055340367486,0.007106973657844124,2.094715957039387
0.2,F_NLOW10,12590,355,0.12868452077439985,0.13808580989023458,0.03562746434608746,0.014177047553758825
0.2,F_DAYS_SINCE_LOW,12590,355,,,,0.0
0.2,F_AMT_RATIO20,12590,355,-0.06444956034316585,-0.16456516865510165,0.012982098566649827,-0.030176029119519346
0.2,F_ATR20_PCT,12590,355,0.3442624405167553,0.3690731405518804,0.01040678248310328,4.583610816553869
0.2,F_INTRADAY_RANGE,12590,355,0.3208221214065201,0.3125059393725983,0.022657119866005035,2.6385908725217293
0.2,F_RV20,12590,355,0.3045783602512369,0.32670286164856777,0.011096164813447315,0.08547287738442998
0.2,F_DAYS_UNDERWATER,12590,355,-0.35301696195763077,-0.3426131384413564,0.016562350915678398,-0.004011245463756481
0.2,F_DIST_AVGCOST,12590,355,-0.01264564006766171,0.02619709805729841,0.21638597996006437,0.32126102402829965
0.2,F_R01_RET60,12522,350,-0.34488467092804337,-0.2822147723796443,0.048379695990884125,-0.005500337206483166
0.2,F_R05_LDS,12590,355,0.2785895167486284,0.2817428853574775,4.585491296637538e-15,2.4027818454317833
0.2,F_LAYER_COUNT,12590,355,-0.202037884002941,-0.1942446736702612,0.030634921053431307,-0.044086497903874436
0.3,F_CUR_MAE,6130,155,-0.08122196264260347,-0.2676335590558257,0.07737823472299886,-2.754972016213734
0.3,F_DAYS_SINCE_ENTRY,6130,155,-0.32176089164042126,-0.28732878053109695,0.16023688005666015,-0.001888226394676764
0.3,F_DAYS_SINCE_FIRST_D10,6130,155,-0.3298625254408745,-0.3299068923592579,0.13996464987489857,-0.0020927103027135285
0.3,F_DIST_MA20,6130,155,-0.2826945131518789,-0.32803312456334965,0.04000950280726818,-0.7548988618417845
0.3,F_DIST_LBB,6130,155,-0.13522964572471888,-0.19222192842307476,0.044284198302283986,-0.5538691624981014
0.3,F_RET3,6130,155,-0.1927547992280901,-0.24759810895410847,0.03143929887707984,-0.6364159996039466
0.3,F_RET5,6130,155,-0.2628380788607902,-0.29743916099507783,0.03397407006184069,-0.7452625727715462
0.3,F_RET20,6130,155,-0.27552420112184256,-0.32612169338562125,0.05032909457152946,-0.5632751817675674
