threshold,feature,n_episodes,n_anchor_days,corr,day_corr,hac_p,beta,bh_q,boot_ci_lo,boot_ci_hi
0.2,F_CUR_MAE,12590,355,-0.09529439623598539,-0.21307236145966296,0.10212140271179357,-5.192072590518132,0.12254568325415229,-0.3986430991775789,-0.08168879077916971
0.2,F_DAYS_SINCE_ENTRY,12590,355,-0.31933549056736615,-0.32134510123435095,0.021527068877566762,-0.0036951602385150027,0.03137139673754544,-0.5184224175234383,-0.190960964986555
0.2,F_DAYS_SINCE_FIRST_D10,12590,355,-0.3219566465663323,-0.3576806597577247,0.014079690934964969,-0.004784452483658866,0.028060952569628685,-0.5632907576633339,-0.2213408535551512
0.2,F_DIST_MA20,12590,355,-0.31743705472892986,-0.3474370099183921,0.004975546817299142,-1.4471768928717865,0.028060952569628685,-0.5463422500507786,-0.21693457061517848
0.2,F_DIST_LBB,12590,355,-0.17189693747728158,-0.08029661163787732,0.16187472281989568,-0.752200272718131,0.18210906317238262,-0.240853968842765,0.040325222746954215
0.2,F_RET3,12590,355,-0.24640914687410292,-0.25355870358103,0.017148359903661974,-1.3247508489527773,0.028060952569628685,-0.41513109424400235,-0.11558573785718895
0.2,F_RET5,12590,355,-0.30543748113536295,-0.2773677848812312,0.011052158200732553,-1.5051146835139562,0.028060952569628685,-0.4651519872953517,-0.1467501582451341
0.2,F_RET20,12590,355,-0.29789680288556636,-0.35475106426953174,0.008650085299096527,-0.9675869493024172,0.028060952569628685,-0.5380424319335018,-0.2279431454193694
0.2,F_REB3,12590,355,0.13810535635553448,0.19200055340367486,0.007106973657844124,2.094715957039387,0.028060952569628685,0.10554536372636161,0.31745851480667997
0.2,F_REB5,12590,355,0.13810535635553448,0.19200055340367486,0.007106973657844124,2.094715957039387,0.028060952569628685,0.10554536372636161,0.31745851480667997
0.2,F_NLOW10,12590,355,0.12868452077439985,0.13808580989023458,0.03562746434608746,0.014177047553758825,0.045806739873541016,0.036077168287149866,0.26468961880029246
0.2,F_DAYS_SINCE_LOW,12590,355,,,,0.0,1.0,,
0.2,F_AMT_RATIO20,12590,355,-0.06444956034316585,-0.16456516865510165,0.012982098566649827,-0.030176029119519346,0.028060952569628685,-0.2363432657413629,-0.03938897874740246
0.2,F_ATR20_PCT,12590,355,0.3442624405167553,0.3690731405518804,0.01040678248310328,4.583610816553869,0.028060952569628685,0.25580890251738,0.5438860520258065
0.2,F_INTRADAY_RANGE,12590,355,0.3208221214065201,0.3125059393725983,0.022657119866005035,2.6385908725217293,0.03137139673754544,0.2306441831492363,0.46922859008938544
0.2,F_RV20,12590,355,0.3045783602512369,0.32670286164856777,0.011096164813447315,0.08547287738442998,0.028060952569628685,0.20084331421203014,0.5123829006899321
0.2,F_DAYS_UNDERWATER,12590,355,-0.35301696195763077,-0.3426131384413564,0.016562350915678398,-0.004011245463756481,0.028060952569628685,-0.5385029122148792,-0.21968690593804585
0.2,F_DIST_AVGCOST,12590,355,-0.01264564006766171,0.02619709805729841,0.21638597996006437,0.32126102402829965,0.22911456701653876,-0.07002007276408524,0.14383369584031128
