threshold,feature,quintile,n,recover_rate
0.2,F_CUR_MAE,0.0,2518,18.34789515488483
0.2,F_CUR_MAE,1.0,2519,13.259229853116317
0.2,F_CUR_MAE,2.0,2517,9.773539928486292
0.2,F_CUR_MAE,3.0,2518,9.134233518665608
0.2,F_CUR_MAE,4.0,2518,9.968228752978554
0.2,F_DAYS_SINCE_ENTRY,0.0,2688,34.11458333333333
0.2,F_DAYS_SINCE_ENTRY,1.0,2621,9.919877909194964
0.2,F_DAYS_SINCE_ENTRY,2.0,2478,7.990314769975787
0.2,F_DAYS_SINCE_ENTRY,3.0,2347,4.2181508308478906
0.2,F_DAYS_SINCE_ENTRY,4.0,2456,1.9951140065146578
0.2,F_DAYS_SINCE_FIRST_D10,0.0,2813,31.923213650906508
0.2,F_DAYS_SINCE_FIRST_D10,1.0,2907,12.246302029583763
0.2,F_DAYS_SINCE_FIRST_D10,2.0,1900,7.157894736842104
0.2,F_DAYS_SINCE_FIRST_D10,3.0,2499,2.6410564225690276
0.2,F_DAYS_SINCE_FIRST_D10,4.0,2471,2.7114528530959126
0.2,F_DIST_MA20,0.0,2518,31.850675138999208
0.2,F_DIST_MA20,1.0,2518,14.773629864972202
0.2,F_DIST_MA20,2.0,2518,8.30023828435266
0.2,F_DIST_MA20,3.0,2518,3.6934074662430505
0.2,F_DIST_MA20,4.0,2518,1.8665607625099285
0.2,F_DIST_LBB,0.0,2518,24.066719618745037
0.2,F_DIST_LBB,1.0,2518,12.589356632247817
0.2,F_DIST_LBB,2.0,2518,9.49166004765687
0.2,F_DIST_LBB,3.0,2518,6.552819698173153
0.2,F_DIST_LBB,4.0,2518,7.783955520254169
0.2,F_RET3,0.0,2518,26.56870532168388
0.2,F_RET3,1.0,2519,16.157205240174672
0.2,F_RET3,2.0,2517,8.661104489471594
0.2,F_RET3,3.0,2518,5.043685464654487
0.2,F_RET3,4.0,2518,4.0508339952343135
0.2,F_RET5,0.0,2518,32.60524225575854
0.2,F_RET5,1.0,2518,13.661636219221604
0.2,F_RET5,2.0,2518,6.98967434471803
0.2,F_RET5,3.0,2518,4.209690230341541
0.2,F_RET5,4.0,2518,3.0182684670373314
0.2,F_RET20,0.0,2518,29.42811755361398
0.2,F_RET20,1.0,2518,16.203335980937254
0.2,F_RET20,2.0,2518,8.578236695790311
0.2,F_RET20,3.0,2518,4.0508339952343135
0.2,F_RET20,4.0,2518,2.2239872915011913
0.2,F_REB3,0.0,2518,11.477362986497221
0.2,F_REB3,1.0,2519,6.431123461691148
0.2,F_REB3,2.0,2517,7.071911005164878
0.2,F_REB3,3.0,2518,11.159650516282763
0.2,F_REB3,4.0,2518,24.344718030182687
0.2,F_REB5,0.0,2518,11.477362986497221
0.2,F_REB5,1.0,2519,6.431123461691148
0.2,F_REB5,2.0,2517,7.071911005164878
0.2,F_REB5,3.0,2518,11.159650516282763
0.2,F_REB5,4.0,2518,24.344718030182687
0.2,F_NLOW10,0.0,2897,5.005177770107007
0.2,F_NLOW10,1.0,4388,11.577028258887875
0.2,F_NLOW10,2.0,2238,16.532618409294013
0.2,F_NLOW10,3.0,1652,18.462469733656174
0.2,F_NLOW10,4.0,1415,13.780918727915195
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
0.2,F_DAYS_SINCE_LOW,,0,
