metric,matrix,sm,se_matrix,se_sm,ci_lo,ci_hi
conditional_ols_b1,3.2831833698585347,3.2831833698585324,1.1498576508922977,1.1498576508922975,1.0295037867618002,5.5368629529552695
conditional_ols_b2,-0.25946233225871235,-0.2594623322587366,17.657922831395524,17.657922831395524,-34.86835512358148,34.34943045906405
intercept,2.1098394491529877,2.1098394491529886,,,,
