scenario,slippage_bp,total_pct,ann_pct,max_dd,sharpe,trades,win_rate
股票核心,0,114.8,12.7,-16.8,0.92,39,82.1
股票核心,10,109.7,12.3,-17.1,0.89,39,79.5
股票核心,20,104.8,11.9,-17.3,0.85,39,79.5
股票核心,30,99.8,11.4,-17.5,0.82,39,79.5
股票核心,50,89.8,10.5,-18.0,0.75,39,76.9
含ETF,0,226.5,20.3,-37.6,1.16,39,82.1
含ETF,10,219.6,19.9,-37.7,1.14,39,79.5
含ETF,20,213.0,19.5,-37.9,1.12,39,79.5
含ETF,30,204.7,19.0,-38.4,1.11,39,79.5
含ETF,50,189.9,18.1,-39.1,1.06,39,76.9
