stock,ts_code,round,entry_date,recorded_exit,exit_type,add_on_count,add_signal_count,raw_return_pct,raw_pnl,adj_ret_pct,ca_affected,signal_date,first_legal_exit_current_data,exit_issue_class,final_verdict,final_tags,one_sentence
亿纬锂能,300014.SZ,59,2023-02-21,2023-11-06,TAKE_PROFIT_DYN,4,4,-28.57,-281657.0,-28.38,True,2023-02-20,2023-11-06,VISUAL_FP_X2,D_VISUAL_FP,D|E,
牧原股份,002714.SZ,5,2020-05-12,2020-07-06,TAKE_PROFIT_DYN,0,0,-25.08,-49309.0,27.94,True,2020-05-11,2020-06-18,CA_ACCOUNTING|EXIT_DATE_DATA_DIFF|VISUAL_FP_X1,A_CA_PLUS_B_DATA_DIFF,A|B|D|E,
高新发展,000628.SZ,65,2024-04-01,2024-05-21,TAKE_PROFIT_DYN,2,2,-22.19,-131450.0,-22.19,False,2024-03-29,2024-05-21,NONE,E,E,
佰维存储,688525.SH,93,2026-07-16,2026-08-25,FINAL_SETTLE,1,1,-19.37,-71017.0,-19.37,False,2026-07-15,,NONE,E,E,
宁德时代,300750.SZ,37,2021-12-21,2022-06-02,TAKE_PROFIT_DYN,2,4,-18.13,-97948.0,-18.13,False,2021-12-20,2022-06-02,VISUAL_FP_X1,D_VISUAL_FP,D|E,
立讯精密,002475.SZ,17,2021-01-29,2021-04-19,TAKE_PROFIT_DYN,3,3,-17.8,-140638.0,-17.8,False,2021-01-28,2021-04-19,NONE,E,E,
亨通光电,600487.SH,92,2026-07-07,2026-08-18,TAKE_PROFIT_DYN,1,1,-17.72,-69195.0,-17.72,False,2026-07-06,2026-08-18,NONE,E,E,
比亚迪,002594.SZ,62,2023-08-15,2024-03-12,TAKE_PROFIT_DYN,4,4,-13.94,-123488.0,-13.94,False,2023-08-14,2024-03-12,NONE,E,E,
五粮液,000858.SZ,28,2021-07-09,2021-09-27,TAKE_PROFIT_DYN,4,4,-8.45,-74117.0,-8.45,False,2021-07-08,2021-09-27,NONE,E,E,
阳光电源,300274.SZ,91,2026-07-02,2026-08-11,TAKE_PROFIT_DYN,1,1,-8.36,-31662.0,-8.36,False,2026-07-01,2026-08-11,NONE,E,E,
昆仑万维,300418.SZ,56,2023-06-27,2023-08-14,TAKE_PROFIT_DYN,1,1,-7.72,-26224.0,-7.72,False,2023-06-26,2023-08-14,NONE,E,E,
工业富联,601138.SH,70,2024-07-19,2024-09-24,TAKE_PROFIT_DYN,2,3,-7.55,-45172.0,-4.97,True,2024-07-18,2024-09-24,CA_ACCOUNTING,A_CA_ACCOUNTING,A|E,
中兴通讯,000063.SZ,76,2025-03-04,2025-05-07,TAKE_PROFIT_DYN,0,1,-7.41,-14651.0,-5.59,True,2025-03-03,2025-05-07,CA_ACCOUNTING,A_CA_ACCOUNTING,A|E,
闻泰科技,600745.SH,9,2020-09-09,2020-12-07,TAKE_PROFIT_DYN,0,3,-6.35,-12522.0,-6.35,False,2020-09-08,2020-12-07,NONE,E,E,
五粮液,000858.SZ,36,2022-03-04,2022-05-30,TAKE_PROFIT_DYN,1,2,-6.34,-21217.0,-6.34,False,2022-03-03,2022-05-30,VISUAL_FP_X2,D_VISUAL_FP,D|E,
东方财富,300059.SZ,15,2021-02-26,2021-04-02,TAKE_PROFIT_DYN,0,0,-5.47,-10856.0,-5.47,False,2021-02-25,2021-04-02,NONE,E,E,
比亚迪,002594.SZ,44,2022-07-13,2022-11-04,TAKE_PROFIT_DYN,4,4,-4.59,-36069.0,-4.56,True,2022-07-12,2022-11-04,NONE,A_CA_ACCOUNTING_SMALL,A|E,
中国平安,601318.SH,60,2023-11-10,2024-01-25,TAKE_PROFIT_DYN,2,2,-4.54,-18766.0,-4.54,False,2023-11-09,2024-01-25,VISUAL_FP_X1,D_VISUAL_FP,D|E,
宁德时代,300750.SZ,0,2020-03-02,2020-04-15,TAKE_PROFIT_DYN,2,2,-4.33,-17565.0,-4.33,False,2020-02-28,2020-04-15,NONE,E,E,
贵州茅台,600519.SH,61,2023-10-16,2024-02-06,TAKE_PROFIT_DYN,1,4,-3.91,-13598.0,-2.8,True,2023-10-13,2023-12-29,CA_ACCOUNTING|EXIT_DATE_DATA_DIFF,A_CA_PLUS_B_DATA_DIFF,A|B|E,
