ts_code,stock_name,entry_date,exit_date,user_requested_date,located_trading_day,in_holding,realtime_exec_threshold,daily_high,gap_high_minus_thr,realtime_touch,eod_bb_upper_raw,eod_upper_touch,explanation
300014.SZ,亿纬锂能,2023-02-21,2023-11-06,2023-04-18,2023-04-18,True,70.59,70.2,-0.39,False,70.17,True,事后K线图的上轨用当日最终收盘计算；策略实时上轨只用前19日收盘+当日盘中价，实时阈值更高，盘中最高价未到。
300014.SZ,亿纬锂能,2023-02-21,2023-11-06,2023-05-15,2023-05-15,True,71.04,70.75,-0.29,False,70.869,False,实时与事后上轨均未触碰，只是盘中高点接近上轨。
300014.SZ,亿纬锂能,2023-02-21,2023-11-06,2023-08-04,2023-08-04,True,61.03,60.88,-0.15,False,60.78,True,事后K线图的上轨用当日最终收盘计算；策略实时上轨只用前19日收盘+当日盘中价，实时阈值更高，盘中最高价未到。
002714.SZ,牧原股份,2020-05-12,2020-07-06,2020-06-02,2020-06-02,True,125.54,124.99,-0.55,False,124.692,True,事后K线图的上轨用当日最终收盘计算；策略实时上轨只用前19日收盘+当日盘中价，实时阈值更高，盘中最高价未到。
002714.SZ,牧原股份,2020-05-12,2020-07-06,2020-06-19,2020-06-19,True,73.12,75.38,2.26,True,73.65,True,实时与事后均触发。
002714.SZ,牧原股份,2020-05-12,2020-07-06,2020-06-22,2020-06-22,True,74.4,77.4,3.0,True,74.837,True,实时与事后均触发。
300750.SZ,宁德时代,2021-12-21,2022-06-02,2022-02-07,2022-02-07,True,613.24,609.98,-3.26,False,606.806,True,事后K线图的上轨用当日最终收盘计算；策略实时上轨只用前19日收盘+当日盘中价，实时阈值更高，盘中最高价未到。
002594.SZ,比亚迪,2023-08-15,2024-03-12,2023-10-18,2023-10-18,True,251.94,251.0,-0.94,False,251.258,False,实时与事后上轨均未触碰，只是盘中高点接近上轨。
600745.SH,闻泰科技,2020-09-09,2020-12-07,2020-10-12,2020-10-12,True,132.25,126.95,-5.3,False,131.088,False,实时与事后上轨均未触碰，只是盘中高点接近上轨。
600745.SH,闻泰科技,2020-09-09,2020-12-07,2020-11-10,2020-11-10,True,119.12,117.33,-1.79,False,117.91,False,实时与事后上轨均未触碰，只是盘中高点接近上轨。
000858.SZ,五粮液,2022-03-04,2022-05-30,2022-04-14,2022-04-14,True,173.12,173.0,-0.12,False,172.729,True,事后K线图的上轨用当日最终收盘计算；策略实时上轨只用前19日收盘+当日盘中价，实时阈值更高，盘中最高价未到。
000858.SZ,五粮液,2022-03-04,2022-05-30,2022-04-15,2022-04-15,True,174.63,174.0,-0.63,False,173.54,True,事后K线图的上轨用当日最终收盘计算；策略实时上轨只用前19日收盘+当日盘中价，实时阈值更高，盘中最高价未到。
601318.SH,中国平安,2023-11-10,2024-01-25,2023-12-29,2023-12-29,True,40.45,40.44,-0.01,False,40.412,True,事后K线图的上轨用当日最终收盘计算；策略实时上轨只用前19日收盘+当日盘中价，实时阈值更高，盘中最高价未到。
600519.SH,贵州茅台,2023-10-16,2024-02-06,2023-11-11,2023-11-10,True,1871.34,1788.0,-83.34,False,1852.122,False,实时与事后上轨均未触碰，只是盘中高点接近上轨。
600519.SH,贵州茅台,2023-10-16,2024-02-06,2023-12-29,2023-12-29,True,1737.93,1749.58,11.65,True,1735.0,True,实时与事后均触发。
