Q,n_days,mean_count,mean_breadth,DAY_MEAN_RETURN,DAY_WIN_RATE,DAY_MEAN_MAE,DAY_MAE20_RATE,DAY_MAE30_RATE,DAY_MEAN_HOLD,DAY_HOLD90_RATE,MKT_RET,MKT_RET5,MKT_RET20
Q1,222,2.7882882882882885,0.0006428732676908615,2.2569136225805915,0.6515015015015014,-13.702359005470948,0.25277777777777777,0.1253003003003003,33.09992492492493,0.04947447447447448,0.00800289300345988,0.004910709758455186,0.0021806849222450243
Q2,222,8.837837837837839,0.0020192009597843792,3.484595313446254,0.709064084064084,-13.780498118336103,0.24819287319287317,0.11816506816506817,33.83693446193446,0.0436991311991312,0.007208755009058722,0.0021164297090645245,0.0011554930744558352
Q3,222,20.77027027027027,0.004780987155372003,3.7264553181756943,0.7143695716315077,-13.777883778294445,0.24012590581131746,0.11951564373091533,33.23909120003837,0.03598127067181215,0.0018818769137810925,0.0009151774005869731,0.0005377945255102306
Q4,222,46.31981981981982,0.010644138203569558,4.375596872400703,0.7369721535741897,-13.195694556429398,0.22329157019384283,0.10959711856235045,32.86845661635092,0.0340770309317092,-0.002791007835538297,-0.0019511619728300109,-0.00022807707812660323
Q5,222,208.6036036036036,0.04742958747605707,4.921204867421213,0.7768744335484112,-11.905779055597424,0.189482604859001,0.09061140408207093,31.52446772371228,0.03125505336237563,-0.015134107834507818,-0.005457458734304402,-0.0005846151120253377
