metric,rho,p,slope,se,ci_lo,ci_hi
spearman_breadth_vs_day_return,0.1602815353077433,7.927328168503873e-08,,,,
rank_slope_HAC,,,0.00296448407260499,0.008182018900398063,-0.013071978293001227,0.019000946438211208
