TPR,FPR,point,analytic,hac_ci_lo,hac_ci_hi,cal_ci_lo,cal_ci_hi,cal_boot_mean
0.25,0.0,0.36214508838442594,0.36214508838442594,0.11916804940146403,0.6051221273673881,0.10068391760034526,0.6517892615478149,0.3656785428454434
0.25,0.05,0.22798200009769579,0.22798200009769573,-0.02432219574068953,0.48028619593608124,-0.04591546529159176,0.5311180799923683,0.23175172573691483
0.25,0.1,0.09381891181096556,0.09381891181096552,-0.17045860175731498,0.35809642537924613,-0.1995632286214966,0.4090223098592401,0.09782490862838635
0.25,0.2,-0.1745072647624948,-0.1745072647624949,-0.4693121011959319,0.12029757167094204,-0.49994388778854304,0.1720373987000167,-0.1700287255886707
0.25,0.3,-0.4428334413359551,-0.44283344133595526,-0.774857090633812,-0.1108097920380986,-0.8137073493772696,-0.056305444071473254,-0.43788235980572765
0.25,0.5,-0.979485794482876,-0.9794857944828761,-1.3986360086251701,-0.560335580340582,-1.462773562434764,-0.5090810325237872,-0.9735896282398416
0.25,1.0,-2.321116677350178,-2.321116677350178,-2.9911159908597758,-1.6511173638405814,-3.107497216182157,-1.6003279500036032,-2.3128577993251267
0.5,0.0,0.7242901767688519,0.7242901767688519,0.23833609880292805,1.2102442547347763,0.20136783520069051,1.3035785230956298,0.7313570856908868
0.5,0.05,0.5901270884821217,0.5901270884821217,0.09554880162205515,1.0847053753421885,0.05307614086185098,1.185865099985332,0.5974302685823581
0.5,0.1,0.45596400019539157,0.45596400019539146,-0.04864439148137906,0.9605723918721625,-0.09183093058318352,1.0622361599847365,0.46350345147382965
0.5,0.2,0.18763782362193113,0.18763782362193104,-0.34091720351462995,0.7161928507584923,-0.3991264572429932,0.8180446197184802,0.1956498172567727
0.5,0.3,-0.08068835295152928,-0.08068835295152932,-0.6378003068475597,0.4764236009445009,-0.6850395026839272,0.5760919723510729,-0.0722038169602843
0.5,0.5,-0.61734070609845,-0.6173407060984502,-1.2427748978439284,0.008093485647027943,-1.3106887332716202,0.12262200811914391,-0.6079110853943983
0.5,1.0,-1.958971588965752,-1.9589715889657522,-2.7972720172503402,-1.120671160681164,-2.925547124869528,-1.0181620650475744,-1.9471792564796833
0.75,0.0,1.086435265153278,1.0864352651532778,0.35750414820439214,1.8153663821021644,0.3020517528010357,1.9553677846434447,1.09703562853633
0.75,0.05,0.9522721768665476,0.9522721768665476,0.21495702079346268,1.6895873329396331,0.1499995519147663,1.8384766007130362,0.9631088114278016
0.75,0.1,0.8181090885798175,0.8181090885798175,0.07145499418988022,1.564763182969755,0.00377247808740877,1.7175612934719418,0.8291819943192731
0.75,0.2,0.5497829120063571,0.549782912006357,-0.21827087828698677,1.3178367022997013,-0.28764473884615127,1.4687160046338237,0.561328360102216
0.75,0.3,0.28145673543289673,0.2814567354328966,-0.5113758052719449,1.0742892761377387,-0.5986896858644899,1.2270669295777203,0.29347472588515905
0.75,0.5,-0.25519561771402416,-0.2551956177140242,-1.1065032221314657,0.5961119867034175,-1.181256956325163,0.7423855535640468,-0.242232542548955
0.75,1.0,-1.5968265005813262,-1.5968265005813262,-2.633490293219409,-0.5601627079432443,-2.7579399625720553,-0.39175030856580556,-1.58150071363424
1.0,0.0,1.4485803535377038,1.4485803535377038,0.4766721976058561,2.4204885094695525,0.40273567040138103,2.6071570461912597,1.4627141713817735
1.0,0.05,1.3144172652509736,1.3144172652509736,0.33424621902354457,2.294588311478403,0.25269331955915975,2.489586704839284,1.3287873542732447
1.0,0.1,1.1802541769642434,1.1802541769642434,0.1910976032441103,2.169410750684377,0.10615228172370196,2.371730199970664,1.1948605371647163
1.0,0.2,0.9119280003907831,0.9119280003907829,-0.09728878296275811,1.921144783744325,-0.18366186116636704,2.124472319969473,0.9270069029476593
1.0,0.3,0.6436018238173227,0.6436018238173226,-0.3883229936829601,1.6755266413176062,-0.4845867146232008,1.8791502169996424,0.6591532687306023
1.0,0.5,0.10694947067040178,0.10694947067040173,-0.9776504691320409,1.1915494104728444,-1.080683503024735,1.3964564801844301,0.12344600029648833
1.0,1.0,-1.2346814121969,-1.2346814121969003,-2.4855497956878567,0.016186971294055885,-2.6213774665432403,0.24524401623828782,-1.2158221707887966
