TPR,FPR,point,randomization_ci_lo,randomization_ci_hi,hac_ci_lo,hac_ci_hi,cal_ci_lo,cal_ci_hi
0.25,0.0,0.36214508838442594,0.157747914630373,0.5761703763340664,0.11916804940146403,0.6051221273673881,0.10068391760034526,0.6517892615478149
0.25,0.05,0.22798200009769579,0.0156143271878395,0.4265990285064382,-0.02432219574068953,0.48028619593608124,-0.04591546529159176,0.5311180799923683
0.25,0.1,0.09381891181096556,-0.1197414359998404,0.319474874216582,-0.17045860175731498,0.35809642537924613,-0.1995632286214966,0.4090223098592401
0.25,0.2,-0.1745072647624948,-0.388300711318205,0.0728248929786794,-0.4693121011959319,0.12029757167094204,-0.49994388778854304,0.1720373987000167
0.25,0.3,-0.4428334413359551,-0.6899343312536932,-0.2013224025049137,-0.774857090633812,-0.1108097920380986,-0.8137073493772696,-0.056305444071473254
0.25,0.5,-0.979485794482876,-1.219788862112249,-0.732284530957296,-1.3986360086251701,-0.560335580340582,-1.462773562434764,-0.5090810325237872
0.25,1.0,-2.321116677350178,-2.5245320679873786,-2.1063089449073065,-2.9911159908597758,-1.6511173638405814,-3.107497216182157,-1.6003279500036032
0.5,0.0,0.7242901767688519,0.4966438154809034,0.9596668539712718,0.23833609880292805,1.2102442547347763,0.20136783520069051,1.3035785230956298
0.5,0.05,0.5901270884821217,0.3462694234917038,0.8226881453815956,0.09554880162205515,1.0847053753421885,0.05307614086185098,1.185865099985332
0.5,0.1,0.45596400019539157,0.2009375368508009,0.7079441900228863,-0.04864439148137906,0.9605723918721625,-0.09183093058318352,1.0622361599847365
0.5,0.2,0.18763782362193113,-0.0553052628111441,0.4400601545719946,-0.34091720351462995,0.7161928507584923,-0.3991264572429932,0.8180446197184802
0.5,0.3,-0.08068835295152928,-0.3518319466918785,0.1940971212717348,-0.6378003068475597,0.4764236009445009,-0.6850395026839272,0.5760919723510729
0.5,0.5,-0.61734070609845,-0.8925954306357767,-0.3472233248676357,-1.2427748978439284,0.008093485647027943,-1.3106887332716202,0.12262200811914391
0.5,1.0,-1.958971588965752,-2.189219568081874,-1.7241741137336064,-2.7972720172503402,-1.120671160681164,-2.925547124869528,-1.0181620650475744
0.75,0.0,1.086435265153278,0.8795353931575023,1.2829518399107966,0.35750414820439214,1.8153663821021644,0.3020517528010357,1.9553677846434447
0.75,0.05,0.9522721768665476,0.7393299096080539,1.1681699908975816,0.21495702079346268,1.6895873329396331,0.1499995519147663,1.8384766007130362
0.75,0.1,0.8181090885798175,0.592843828615141,1.0290055177945026,0.07145499418988022,1.564763182969755,0.00377247808740877,1.7175612934719418
0.75,0.2,0.5497829120063571,0.3099922185606191,0.7795406365433332,-0.21827087828698677,1.3178367022997013,-0.28764473884615127,1.4687160046338237
0.75,0.3,0.28145673543289673,0.0413756926892734,0.5241464504060765,-0.5113758052719449,1.0742892761377387,-0.5986896858644899,1.2270669295777203
0.75,0.5,-0.25519561771402416,-0.5010759754522345,0.0047288041904057,-1.1065032221314657,0.5961119867034175,-1.181256956325163,0.7423855535640468
0.75,1.0,-1.5968265005813262,-1.8027574495146936,-1.397164833716411,-2.633490293219409,-0.5601627079432443,-2.7579399625720553,-0.39175030856580556
1.0,0.0,1.4485803535377038,1.4485803535377038,1.4485803535377038,0.4766721976058561,2.4204885094695525,0.40273567040138103,2.6071570461912597
1.0,0.05,1.3144172652509736,1.2468046582755743,1.3652759286939748,0.33424621902354457,2.294588311478403,0.25269331955915975,2.489586704839284
1.0,0.1,1.1802541769642434,1.0916252297315134,1.2545725148485918,0.1910976032441103,2.169410750684377,0.10615228172370196,2.371730199970664
1.0,0.2,0.9119280003907831,0.7934014804284436,1.0184854400329793,-0.09728878296275811,1.921144783744325,-0.18366186116636704,2.124472319969473
1.0,0.3,0.6436018238173227,0.5155216370255534,0.7607376375421112,-0.3883229936829601,1.6755266413176062,-0.4845867146232008,1.8791502169996424
1.0,0.5,0.10694947067040178,-0.0276232609991924,0.244285411861321,-0.9776504691320409,1.1915494104728444,-1.080683503024735,1.3964564801844301
1.0,1.0,-1.2346814121969,-1.2346814121969,-1.2346814121969,-2.4855497956878567,0.016186971294055885,-2.6213774665432403,0.24524401623828782
