anchor_day,TPR,FPR,V_d
45,0.25,0.0,0.8674964398287814
46,0.25,0.0,-0.028977968142827486
47,0.25,0.0,-1.025633579961053
49,0.25,0.0,1.0831650054525757
50,0.25,0.0,-0.6955887249407837
51,0.25,0.0,-1.333140552494726
52,0.25,0.0,-1.2921773645693422
53,0.25,0.0,3.257740703721101
54,0.25,0.0,-1.702537711814291
56,0.25,0.0,-1.2235404824806588
58,0.25,0.0,1.9021605736788727
59,0.25,0.0,-1.3807134567520596
60,0.25,0.0,5.046792677469506
65,0.25,0.0,1.3143415425061336
66,0.25,0.0,-0.20864936922676014
70,0.25,0.0,-0.5581900710823855
71,0.25,0.0,4.024329720161238
72,0.25,0.0,4.971757070907796
73,0.25,0.0,-1.1202753801261127
74,0.25,0.0,0.18478177150726063
75,0.25,0.0,-0.16397063311770427
76,0.25,0.0,-0.4682070665942959
77,0.25,0.0,-1.281908492815236
78,0.25,0.0,-0.7749827579099233
79,0.25,0.0,-0.8563005243542503
80,0.25,0.0,-2.0167620787361384
81,0.25,0.0,-1.9462008249569225
83,0.25,0.0,-1.18859251922961
86,0.25,0.0,-2.4698956637183165
87,0.25,0.0,-2.516493136167349
88,0.25,0.0,-3.650952701063163
89,0.25,0.0,-0.9597274265693447
90,0.25,0.0,-2.3068739617726806
91,0.25,0.0,-1.6812667426945354
92,0.25,0.0,-0.6774541815672631
93,0.25,0.0,-0.48819445556420593
96,0.25,0.0,-0.3144781062203552
99,0.25,0.0,-0.1912393363369409
102,0.25,0.0,-0.6248624334774897
106,0.25,0.0,-1.5365990891617152
109,0.25,0.0,-3.9554036643713064
115,0.25,0.0,-1.060486282353684
118,0.25,0.0,2.0826865992650596
119,0.25,0.0,0.8355916188565155
135,0.25,0.0,-1.1795655645451404
144,0.25,0.0,0.0
148,0.25,0.0,-3.4809459521463584
150,0.25,0.0,0.10743134768882533
155,0.25,0.0,-1.7295000826682254
157,0.25,0.0,-0.4747762002178335
158,0.25,0.0,-0.8552144234070878
164,0.25,0.0,-3.043049277919354
165,0.25,0.0,-0.6115568287982702
166,0.25,0.0,2.363021803100316
167,0.25,0.0,0.2986030145488818
168,0.25,0.0,0.5921135534125948
169,0.25,0.0,1.7293607937843434
172,0.25,0.0,2.6486757234874703
173,0.25,0.0,2.453155932647888
174,0.25,0.0,0.35555765446278886
178,0.25,0.0,0.01681101709888865
179,0.25,0.0,-0.5136127087924539
180,0.25,0.0,-0.3836226866149925
181,0.25,0.0,1.4656067905563728
182,0.25,0.0,0.18782784962118104
183,0.25,0.0,3.3006844999167226
186,0.25,0.0,0.2976043856438957
187,0.25,0.0,0.0
188,0.25,0.0,-0.860494370344482
189,0.25,0.0,3.385854935902622
190,0.25,0.0,0.7118936850714052
191,0.25,0.0,-0.6128977695637863
192,0.25,0.0,1.7919327619782044
193,0.25,0.0,-0.8837386087473575
194,0.25,0.0,0.5828439641111706
195,0.25,0.0,0.5004541606674119
196,0.25,0.0,0.33935656623764504
197,0.25,0.0,-0.9794813183239539
198,0.25,0.0,-0.11355663623121778
199,0.25,0.0,-0.6346693081730128
200,0.25,0.0,1.4015960370547058
201,0.25,0.0,3.3435236455725885
202,0.25,0.0,3.7048818298480257
204,0.25,0.0,-1.8980785951022332
206,0.25,0.0,-0.362122242001704
207,0.25,0.0,1.635213349857418
208,0.25,0.0,2.427567738282795
210,0.25,0.0,0.4837039156853418
211,0.25,0.0,-1.4055741493054166
212,0.25,0.0,1.2650712956125896
215,0.25,0.0,1.9132133449123163
216,0.25,0.0,0.0026399977088396773
217,0.25,0.0,-1.9256254096260337
218,0.25,0.0,1.0547033155093297
219,0.25,0.0,0.6203621978089509
221,0.25,0.0,-1.4455736015837686
224,0.25,0.0,1.6562825530921712
225,0.25,0.0,2.19864342938959
226,0.25,0.0,2.8176803430818884
227,0.25,0.0,1.6753575277209707
228,0.25,0.0,1.4184751677596261
229,0.25,0.0,-0.24995751795246646
230,0.25,0.0,3.885015582194118
231,0.25,0.0,1.2055762697758938
232,0.25,0.0,1.9206253822156207
233,0.25,0.0,1.454754919271116
234,0.25,0.0,1.0438932946403525
235,0.25,0.0,0.6228271595797654
236,0.25,0.0,1.2552114742965563
237,0.25,0.0,0.8748450252860575
238,0.25,0.0,0.4242802595326949
239,0.25,0.0,-0.23980326917683917
240,0.25,0.0,0.7305393063532815
241,0.25,0.0,2.84257749380316
242,0.25,0.0,2.1181159666405605
243,0.25,0.0,0.5536030297670651
244,0.25,0.0,-0.17949752337614344
245,0.25,0.0,0.1237627827960214
246,0.25,0.0,-0.33713264017073713
247,0.25,0.0,-0.11082801752464749
248,0.25,0.0,-0.8826125843575866
249,0.25,0.0,-0.258010294201
250,0.25,0.0,-0.9741447824895062
251,0.25,0.0,-0.40461969217444765
252,0.25,0.0,1.1270458485696069
253,0.25,0.0,-0.7697813885693057
254,0.25,0.0,1.5864569377782674
257,0.25,0.0,-0.6450262579362915
258,0.25,0.0,-0.16582419122702896
259,0.25,0.0,-0.03685598450337404
260,0.25,0.0,0.00021954330045934056
261,0.25,0.0,-0.8389410409994518
262,0.25,0.0,-0.9291816288059289
263,0.25,0.0,-0.6066690694512933
264,0.25,0.0,-0.6623543656765246
265,0.25,0.0,-1.2581827301738706
266,0.25,0.0,-1.1175858820689244
267,0.25,0.0,-0.5096311657611191
268,0.25,0.0,-0.38707157689999094
269,0.25,0.0,-1.2592384671965848
270,0.25,0.0,-1.8574394169514357
275,0.25,0.0,-0.26628960457294015
277,0.25,0.0,-0.8414917600093398
283,0.25,0.0,-0.954913821972812
284,0.25,0.0,-0.3323544673941861
285,0.25,0.0,-0.7319277263892703
286,0.25,0.0,1.3360136454487919
287,0.25,0.0,-0.646653683685705
288,0.25,0.0,-1.4513072162519036
289,0.25,0.0,-0.8418728159897234
290,0.25,0.0,-1.500010233340151
291,0.25,0.0,-0.048023593343073476
292,0.25,0.0,-1.0154179122638327
293,0.25,0.0,-0.44487998950372687
294,0.25,0.0,-0.8627228835259539
295,0.25,0.0,-0.8944757823972552
296,0.25,0.0,0.44044905194832146
300,0.25,0.0,-1.2175429839323915
306,0.25,0.0,0.577633060123981
307,0.25,0.0,-1.4089109720266286
308,0.25,0.0,-1.4625461351556222
309,0.25,0.0,0.33527685050468437
310,0.25,0.0,-0.7445204525414253
311,0.25,0.0,-0.6024058431808739
313,0.25,0.0,-0.013348854471179727
314,0.25,0.0,0.0
316,0.25,0.0,-0.33600883389056646
317,0.25,0.0,-1.3843537185841157
318,0.25,0.0,-0.4206792358589859
319,0.25,0.0,-0.5965465553355428
320,0.25,0.0,-0.774950202952243
321,0.25,0.0,-0.42155024506742056
322,0.25,0.0,-1.4029843814073042
