TPR,FPR,point,hac_ci_lo,hac_ci_hi
0.25,0.0,0.36214508838442594,0.11916804940146403,0.6051221273673881
0.25,0.05,0.22798200009769579,-0.02432219574068953,0.48028619593608124
0.25,0.1,0.09381891181096556,-0.17045860175731498,0.35809642537924613
0.25,0.2,-0.1745072647624948,-0.4693121011959319,0.12029757167094204
0.25,0.3,-0.4428334413359551,-0.774857090633812,-0.1108097920380986
0.25,0.5,-0.979485794482876,-1.3986360086251701,-0.560335580340582
0.25,1.0,-2.321116677350178,-2.9911159908597758,-1.6511173638405814
0.5,0.0,0.7242901767688519,0.23833609880292805,1.2102442547347763
0.5,0.05,0.5901270884821217,0.09554880162205515,1.0847053753421885
0.5,0.1,0.45596400019539157,-0.04864439148137906,0.9605723918721625
0.5,0.2,0.18763782362193113,-0.34091720351462995,0.7161928507584923
0.5,0.3,-0.08068835295152928,-0.6378003068475597,0.4764236009445009
0.5,0.5,-0.61734070609845,-1.2427748978439284,0.008093485647027943
0.5,1.0,-1.958971588965752,-2.7972720172503402,-1.120671160681164
0.75,0.0,1.086435265153278,0.35750414820439214,1.8153663821021644
0.75,0.05,0.9522721768665476,0.21495702079346268,1.6895873329396331
0.75,0.1,0.8181090885798175,0.07145499418988022,1.564763182969755
0.75,0.2,0.5497829120063571,-0.21827087828698677,1.3178367022997013
0.75,0.3,0.28145673543289673,-0.5113758052719449,1.0742892761377387
0.75,0.5,-0.25519561771402416,-1.1065032221314657,0.5961119867034175
0.75,1.0,-1.5968265005813262,-2.633490293219409,-0.5601627079432443
1.0,0.0,1.4485803535377038,0.4766721976058561,2.4204885094695525
1.0,0.05,1.3144172652509736,0.33424621902354457,2.294588311478403
1.0,0.1,1.1802541769642434,0.1910976032441103,2.169410750684377
1.0,0.2,0.9119280003907831,-0.09728878296275811,1.921144783744325
1.0,0.3,0.6436018238173227,-0.3883229936829601,1.6755266413176062
1.0,0.5,0.10694947067040178,-0.9776504691320409,1.1915494104728444
1.0,1.0,-1.2346814121969,-2.4855497956878567,0.016186971294055885
