TPR,FPR,point,hac_ci_lo,hac_ci_hi,cal_ci_lo,cal_ci_hi,randomization_ci_lo,randomization_ci_hi
0.25,0.05,0.22798200009769579,-0.02432219574068953,0.48028619593608124,-0.04591546529159176,0.5311180799923683,0.0156143271878395,0.4265990285064382
0.25,0.1,0.09381891181096556,-0.17045860175731498,0.35809642537924613,-0.1995632286214966,0.4090223098592401,-0.1197414359998404,0.319474874216582
0.5,0.1,0.45596400019539157,-0.04864439148137906,0.9605723918721625,-0.09183093058318352,1.0622361599847365,0.2009375368508009,0.7079441900228863
0.5,0.2,0.18763782362193113,-0.34091720351462995,0.7161928507584923,-0.3991264572429932,0.8180446197184802,-0.0553052628111441,0.4400601545719946
0.5,0.3,-0.08068835295152928,-0.6378003068475597,0.4764236009445009,-0.6850395026839272,0.5760919723510729,-0.3518319466918785,0.1940971212717348
0.75,0.2,0.5497829120063571,-0.21827087828698677,1.3178367022997013,-0.28764473884615127,1.4687160046338237,0.3099922185606191,0.7795406365433332
0.75,0.3,0.28145673543289673,-0.5113758052719449,1.0742892761377387,-0.5986896858644899,1.2270669295777203,0.0413756926892734,0.5241464504060765
0.75,0.5,-0.25519561771402416,-1.1065032221314657,0.5961119867034175,-1.181256956325163,0.7423855535640468,-0.5010759754522345,0.0047288041904057
1.0,0.3,0.6436018238173227,-0.3883229936829601,1.6755266413176062,-0.4845867146232008,1.8791502169996424,0.5155216370255534,0.7607376375421112
1.0,0.5,0.10694947067040178,-0.9776504691320409,1.1915494104728444,-1.080683503024735,1.3964564801844301,-0.0276232609991924,0.244285411861321
