TPR,calendar_safe_fpr,calendar_safe_list,hac_safe_fpr,hac_safe_list,rand_safe_fpr,rand_safe_list
0.25,0.0,[0.0],0.0,[0.0],0.05,"[0.0, 0.05]"
0.5,0.05,"[0.0, 0.05]",0.05,"[0.0, 0.05]",0.1,"[0.0, 0.05, 0.1]"
0.75,0.1,"[0.0, 0.05, 0.1]",0.1,"[0.0, 0.05, 0.1]",0.3,"[0.0, 0.05, 0.1, 0.2, 0.3]"
1.0,0.1,"[0.0, 0.05, 0.1]",0.1,"[0.0, 0.05, 0.1]",0.3,"[0.0, 0.05, 0.1, 0.2, 0.3]"
