date,ts_code,action,level
2020-06-18,000063.SZ,TAKE_PROFIT_DYN,1
2020-06-18,002415.SZ,TAKE_PROFIT_DYN,1
2020-06-18,002714.SZ,TAKE_PROFIT_DYN,1
