signal_date,entry_date,exit_date,entry_idx,exit_idx,qty,entry_open,exit_close,buy_fill,sell_fill,buy_fee,sell_fee,gross_return_pct,net_return_pct,pnl,year
2021-01-28,2021-01-29,2021-02-04,262,266,18400,5.407,5.474,5.412406999999999,5.468526,24.9,25.16,1.0369,0.9864,982.54,2021
2021-02-04,2021-02-05,2021-02-18,267,271,18200,5.486,5.764,5.491485999999999,5.758236,24.99,26.2,4.8575,4.8051,4803.66,2021
2021-03-09,2021-03-10,2021-03-16,285,289,19800,5.037,5.073,5.042037,5.067927,24.96,25.09,0.5135,0.4632,462.58,2021
2021-03-24,2021-03-25,2021-03-31,296,300,20300,4.906,5.05,4.910905999999999,5.04495,24.92,25.6,2.7295,2.6782,2670.57,2021
2021-04-12,2021-04-13,2021-04-19,308,312,20100,4.946,5.089,4.950945999999999,5.0839110000000005,24.88,25.55,2.6856,2.6343,2622.17,2021
2021-04-23,2021-04-26,2021-04-30,317,321,19300,5.151,5.128,5.1561509999999995,5.122872,24.88,24.72,-0.6454,-0.6951,-691.88,2021
2021-04-30,2021-05-06,2021-05-12,322,326,19500,5.109,5.056,5.114108999999999,5.050944,24.93,24.62,-1.2351,-1.2845,-1281.27,2021
2021-06-11,2021-06-15,2021-06-21,349,353,19000,5.24,5.119,5.24524,5.113881,24.91,24.29,-2.5043,-2.5531,-2545.03,2021
2021-06-29,2021-06-30,2021-07-06,360,364,19100,5.226,5.127,5.2312259999999995,5.121873,24.98,24.46,-2.0904,-2.1393,-2138.08,2021
2021-07-08,2021-07-09,2021-07-15,367,371,19500,5.12,5.207,5.12512,5.2017929999999994,24.98,25.36,1.496,1.4453,1444.78,2021
2021-07-15,2021-07-16,2021-07-22,372,376,19200,5.2,5.209,5.2052,5.203791,24.98,24.98,-0.0271,-0.077,-77.02,2021
2021-07-23,2021-07-26,2021-07-30,378,382,19400,5.137,4.872,5.142136999999999,4.867128,24.94,23.61,-5.3481,-5.3955,-5383.72,2021
2021-08-17,2021-08-18,2021-08-24,395,399,20300,4.904,4.957,4.908904,4.952043,24.91,25.13,0.8788,0.8284,825.68,2021
2021-08-30,2021-08-31,2021-09-06,404,408,20400,4.882,5.002,4.886881999999999,4.996998,24.92,25.48,2.2533,2.2022,2195.96,2021
2021-09-16,2021-09-17,2021-09-27,417,421,20400,4.888,4.963,4.892887999999999,4.958037,24.95,25.29,1.3315,1.2809,1278.8,2021
2021-09-27,2021-09-28,2021-10-11,422,426,20100,4.955,5.005,4.959955,4.999995,24.92,25.12,0.8073,0.7569,754.76,2021
2021-10-12,2021-10-13,2021-10-19,428,432,20200,4.945,4.995,4.949945,4.990005,25.0,25.2,0.8093,0.7589,759.02,2021
2021-10-27,2021-10-28,2021-11-03,439,443,20100,4.96,4.893,4.96496,4.888107,24.95,24.56,-1.5479,-1.5971,-1594.26,2021
2021-12-06,2021-12-07,2021-12-13,467,471,20000,4.995,5.156,4.999994999999999,5.150843999999999,25.0,25.75,3.017,2.9655,2966.23,2021
2021-12-20,2021-12-21,2021-12-27,477,481,20100,4.953,5.001,4.957953,4.995999,24.91,25.1,0.7674,0.717,714.71,2021
2022-01-05,2022-01-06,2022-01-12,488,492,20200,4.923,4.919,4.927923,4.9140809999999995,24.89,24.82,-0.2809,-0.3307,-329.31,2022
2022-01-14,2022-01-17,2022-01-21,495,499,20800,4.798,4.784,4.802797999999999,4.779216,24.97,24.85,-0.491,-0.5407,-540.33,2022
2022-01-21,2022-01-24,2022-01-28,500,504,20900,4.76,4.554,4.764759999999999,4.5494460000000005,24.9,23.77,-4.5189,-4.5666,-4548.73,2022
2022-03-07,2022-03-08,2022-03-14,526,530,22900,4.347,4.172,4.351347,4.167828,24.91,23.86,-4.2175,-4.2654,-4251.36,2022
2022-03-14,2022-03-15,2022-03-21,531,535,24100,4.135,4.252,4.139135,4.247748,24.94,25.59,2.6241,2.5728,2567.04,2022
2022-04-11,2022-04-12,2022-04-18,549,553,24300,4.103,4.161,4.1071029999999995,4.156839,24.95,25.25,1.211,1.1604,1158.38,2022
2022-04-21,2022-04-22,2022-04-28,557,561,25100,3.965,3.915,3.9689649999999994,3.911085,24.91,24.54,-1.4583,-1.5076,-1502.24,2022
2022-06-22,2022-06-23,2022-06-29,597,601,23200,4.291,4.458,4.295291,4.4535420000000006,24.91,25.83,3.6843,3.6325,3620.68,2022
2022-07-05,2022-07-06,2022-07-12,606,610,22200,4.5,4.352,4.504499999999999,4.347648,25.0,24.13,-3.4821,-3.5304,-3531.24,2022
2022-07-12,2022-07-13,2022-07-19,611,615,22900,4.355,4.319,4.359355,4.314681,24.96,24.7,-1.0248,-1.0743,-1072.69,2022
2022-08-02,2022-08-03,2022-08-09,626,630,23800,4.18,4.211,4.18418,4.2067890000000006,24.9,25.03,0.5403,0.4901,488.17,2022
2022-08-24,2022-08-25,2022-08-31,642,646,24000,4.153,4.141,4.157152999999999,4.136859,24.94,24.82,-0.4882,-0.5379,-536.82,2022
2022-08-31,2022-09-01,2022-09-07,647,651,24100,4.13,4.119,4.13413,4.114881,24.91,24.79,-0.4656,-0.5154,-513.6,2022
2022-09-15,2022-09-16,2022-09-22,657,661,24500,4.077,3.932,4.081077,3.928068,25.0,24.06,-3.7492,-3.7973,-3797.78,2022
2022-09-23,2022-09-26,2022-09-30,663,667,25600,3.9,3.868,3.9038999999999993,3.8641319999999997,24.98,24.73,-1.0187,-1.0682,-1067.78,2022
2022-10-10,2022-10-11,2022-10-17,669,673,26300,3.791,3.902,3.7947909999999996,3.898098,24.95,25.63,2.7223,2.671,2666.39,2022
2022-10-28,2022-10-31,2022-11-04,683,687,27900,3.58,3.834,3.5835799999999995,3.830166,25.0,26.72,6.881,6.8276,6828.04,2022
2022-11-25,2022-11-28,2022-12-02,703,707,26400,3.772,3.933,3.7757719999999995,3.929067,24.92,25.93,4.06,4.0079,3996.14,2022
2022-12-12,2022-12-13,2022-12-19,714,718,24800,4.018,3.959,4.022017999999999,3.955041,24.94,24.52,-1.6653,-1.7144,-1710.49,2022
2022-12-19,2022-12-20,2022-12-26,719,723,25300,3.945,3.9,3.9489449999999993,3.8961,24.98,24.64,-1.3382,-1.3875,-1386.6,2022
2023-02-16,2023-02-17,2023-02-23,756,760,24400,4.085,4.099,4.089085,4.094901,24.94,24.98,0.1422,0.0922,91.99,2023
2023-02-27,2023-02-28,2023-03-06,763,767,24600,4.057,4.099,4.061057,4.094901,24.98,25.18,0.8334,0.783,782.4,2023
2023-03-07,2023-03-08,2023-03-14,769,773,24700,4.03,3.98,4.03403,3.97602,24.91,24.55,-1.438,-1.4873,-1482.31,2023
2023-03-14,2023-03-15,2023-03-21,774,778,24900,4.006,3.975,4.010006,3.971025,24.96,24.72,-0.9721,-1.0216,-1020.31,2023
2023-03-29,2023-03-30,2023-04-06,785,789,24900,3.998,4.088,4.0019979999999995,4.083912,24.91,25.42,2.0468,1.9958,1989.32,2023
2023-04-18,2023-04-19,2023-04-25,798,802,24000,4.154,3.96,4.158154,3.95604,24.95,23.74,-4.8607,-4.9082,-4899.42,2023
2023-04-25,2023-04-26,2023-05-05,803,807,25200,3.958,4.009,3.9619579999999996,4.004991,24.96,25.23,1.0862,1.0356,1034.24,2023
2023-06-06,2023-06-07,2023-06-13,830,834,26100,3.82,3.877,3.8238199999999996,3.8731229999999996,24.95,25.27,1.2894,1.2387,1236.59,2023
2023-06-20,2023-06-21,2023-06-29,840,844,25300,3.935,3.859,3.9389349999999994,3.855141,24.91,24.38,-2.1273,-2.1763,-2169.29,2023
2023-07-20,2023-07-21,2023-07-27,860,864,25600,3.888,3.972,3.8918879999999993,3.968028,24.91,25.4,1.9564,1.9054,1898.88,2023
