signal_date,entry_date,exit_date,entry_idx,exit_idx,qty,entry_open,exit_close,buy_fill,sell_fill,buy_fee,sell_fee,gross_return_pct,net_return_pct,pnl,year
2023-08-07,2023-08-08,2023-08-14,872,876,24600,4.048,3.923,4.052047999999999,3.919077,24.92,24.1,-3.2816,-3.3299,-3320.11,2023
2023-08-14,2023-08-15,2023-08-21,877,881,25400,3.927,3.8,3.9309269999999996,3.7962,24.96,24.11,-3.4274,-3.4756,-3471.13,2023
2023-08-21,2023-08-22,2023-08-28,882,886,26100,3.818,3.837,3.8218179999999995,3.8331630000000003,24.94,25.01,0.2968,0.2467,246.16,2023
2023-10-09,2023-10-10,2023-10-16,911,915,26500,3.766,3.693,3.7697659999999997,3.689307,24.97,24.44,-2.1343,-2.1832,-2181.58,2023
2023-10-18,2023-10-19,2023-10-25,918,922,27200,3.66,3.569,3.6636599999999997,3.565431,24.91,24.24,-2.6812,-2.7298,-2720.99,2023
2023-11-30,2023-12-01,2023-12-07,949,953,28000,3.561,3.454,3.5645609999999994,3.450546,24.95,24.15,-3.1986,-3.247,-3241.53,2023
2023-12-07,2023-12-08,2023-12-14,954,958,28900,3.455,3.419,3.458455,3.415581,24.99,24.68,-1.2397,-1.2891,-1288.72,2023
2023-12-18,2023-12-19,2023-12-25,961,965,29400,3.397,3.415,3.4003969999999994,3.411585,24.99,25.08,0.329,0.2789,278.86,2023
2023-12-25,2023-12-26,2024-01-02,966,970,29200,3.413,3.453,3.4164129999999995,3.449547,24.94,25.18,0.9698,0.9194,917.39,2023
2024-01-08,2024-01-09,2024-01-15,975,979,29800,3.351,3.345,3.3543509999999994,3.3416550000000003,24.99,24.9,-0.3785,-0.4283,-428.23,2024
2024-01-17,2024-01-18,2024-01-24,982,986,31000,3.218,3.279,3.2212179999999995,3.275721,24.96,25.39,1.692,1.6412,1639.24,2024
2024-01-31,2024-02-01,2024-02-07,992,996,31200,3.2,3.34,3.2032,3.3366599999999997,24.98,26.03,4.1665,4.1144,4112.94,2024
2024-03-25,2024-03-26,2024-04-01,1024,1028,28300,3.52,3.584,3.5235199999999995,3.580416,24.93,25.33,1.6147,1.564,1559.9,2024
2024-04-08,2024-04-09,2024-04-15,1032,1036,28300,3.527,3.539,3.5305269999999997,3.535461,24.98,25.01,0.1398,0.0897,89.64,2024
2024-04-15,2024-04-16,2024-04-22,1037,1041,28300,3.524,3.524,3.5275239999999997,3.520476,24.96,24.91,-0.1998,-0.2497,-249.32,2024
2024-05-23,2024-05-24,2024-05-30,1062,1066,27500,3.632,3.596,3.6356319999999998,3.592404,24.99,24.7,-1.189,-1.2384,-1238.46,2024
2024-06-03,2024-06-04,2024-06-11,1069,1073,27800,3.585,3.551,3.5885849999999997,3.5474490000000003,24.94,24.65,-1.1463,-1.1957,-1193.18,2024
2024-06-20,2024-06-21,2024-06-27,1081,1085,28400,3.517,3.48,3.5205169999999995,3.47652,25.0,24.68,-1.2497,-1.2991,-1299.19,2024
2024-07-08,2024-07-09,2024-07-15,1093,1097,29100,3.429,3.526,3.4324289999999995,3.522474,24.97,25.63,2.6234,2.5721,2569.71,2024
2024-07-24,2024-07-25,2024-07-31,1105,1109,28800,3.464,3.508,3.4674639999999997,3.504492,24.97,25.23,1.0679,1.0173,1016.21,2024
2024-08-05,2024-08-06,2024-08-12,1113,1117,29100,3.428,3.389,3.4314279999999995,3.385611,24.96,24.63,-1.3352,-1.3845,-1382.87,2024
2024-08-20,2024-08-21,2024-08-27,1124,1128,29400,3.391,3.377,3.3943909999999997,3.373623,24.95,24.8,-0.6118,-0.6615,-660.32,2024
2024-08-27,2024-08-28,2024-09-03,1129,1133,29600,3.37,3.344,3.3733699999999995,3.340656,24.96,24.72,-0.9698,-1.0193,-1018.02,2024
2024-09-13,2024-09-18,2024-09-24,1142,1146,30900,3.227,3.427,3.2302269999999993,3.423573,24.95,26.45,5.9855,5.9325,5922.99,2024
2024-11-15,2024-11-18,2024-11-22,1180,1184,24500,4.071,3.953,4.075070999999999,3.9490469999999998,24.96,24.19,-3.0926,-3.141,-3136.74,2024
2024-11-22,2024-11-25,2024-11-29,1185,1189,25200,3.955,4.001,3.9589549999999996,3.996999,24.94,25.18,0.961,0.9105,908.59,2024
2024-12-17,2024-12-18,2024-12-24,1202,1206,24800,4.02,4.069,4.024019999999999,4.064931,24.95,25.2,1.0167,0.9662,964.44,2024
2024-12-24,2024-12-25,2024-12-31,1207,1211,24500,4.072,4.022,4.076072,4.017978,24.97,24.61,-1.4252,-1.4745,-1472.88,2024
