year,trade_count,net_pnl,net_return_pct,mean_trade_pct,win_pct
2021,20,8770.2,8.7807,0.439,65.0
2022,20,-3464.13,-3.4741,-0.1737,35.0
2023,19,-17319.56,-17.3523,-0.9133,47.37
2024,19,6704.45,6.7159,0.3535,47.37
