etf_code,index_key,list_date,coverage_2020_2024_pct,missing_days,n_rows_2020_2024,open_missing,amount_missing,zero_amount_days,median_amount_wan,median_adv60_wan,max_calendar_gap_days,inception_covers_2020
510300.SH,000300.SH,2012-05-28,100.0,0,1212,0,0,0,2299495.4,2244459.5,11,True
510500.SH,中证小盘500,2013-03-15,100.0,0,1212,0,0,0,1305310.2,1410050.5,11,True
510050.SH,上海证券交易所50成份,2005-02-23,100.0,0,1212,0,0,0,1814815.4,1959966.8,11,True
159919.SZ,000300.SH,2012-05-28,100.0,0,1212,0,0,0,612366.9,634902.0,11,True
510310.SH,000300.SH,2013-03-25,100.0,0,1212,0,0,0,203910.7,197469.6,11,True
159915.SZ,395004.SZ,2011-12-09,99.92,1,1211,0,0,0,1015097.8,1096905.8,11,True
