horizon,panic_n,normal_n,panic_mean_pct,normal_mean_pct,delta_pp,hac_ci_lower,hac_ci_upper
1,187,712,-0.115,0.046,-0.1611,-0.3824,0.0602
3,187,712,0.058,0.0495,0.0085,-0.4574,0.4744
5,187,712,0.3263,0.0511,0.2752,-0.3004,0.8507
10,185,709,0.8077,0.0898,0.718,-0.1951,1.631
20,184,701,1.2184,0.5348,0.6836,-0.5244,1.8916
