date,expanding_rank01,panic80,breadth_pct,prior_trading_days
2020-09-24,,0,0.05941143808995,178
2020-09-25,,0,0.0177481974486966,179
2020-09-28,,0,0.0347222222222222,180
2020-09-29,,0,0.0038845726970033,181
2020-09-30,,0,0.0113699389905712,182
2020-10-09,,0,0.0013846579894765,183
2020-10-12,,0,0.0002768549280177,184
2020-10-13,,0,0.0005529444290848,185
2020-10-14,,0,0.001935305501797,186
2020-10-15,,0,0.0027631942525559,187
2020-10-16,,0,0.0024855012427506,188
2020-10-19,,0,0.0052413793103448,189
2020-10-20,,0,0.0013781697905181,190
2020-10-21,,0,0.0049614112458654,191
2020-10-22,,0,0.0063221550302363,192
2020-10-23,,0,0.0206043956043956,193
2020-10-26,,0,0.0167628469359714,194
2020-10-27,,0,0.0074155451798956,195
2020-10-28,,0,0.0115321252059308,196
2020-10-29,,0,0.0123490669593852,197
2020-10-30,,0,0.074033452152454,198
2020-11-02,,0,0.0372500684743905,199
2020-11-03,,0,0.0016433853738701,200
2020-11-04,,0,0.0019167579408543,201
2020-11-05,,0,0.0013683634373289,202
2020-11-06,,0,0.0076586433260393,203
2020-11-09,,0,0.0008190008190008,204
2020-11-10,,0,0.0032742155525238,205
2020-11-11,,0,0.0128170166348513,206
2020-11-12,,0,0.0062653228003268,207
2020-11-13,,0,0.0038157536113382,208
2020-11-16,,0,0.0057236304170073,209
2020-11-17,,0,0.0114285714285714,210
2020-11-18,,0,0.0054347826086956,211
2020-11-19,,0,0.0013583265417006,212
2020-11-20,,0,0.0008145533532446,213
2020-11-23,,0,0.0024423337856173,214
2020-11-24,,0,0.0037827614158335,215
2020-11-25,,0,0.0172832838239265,216
2020-11-26,,0,0.0113299163744267,217
2020-11-27,,0,0.0062061521856449,218
2020-11-30,,0,0.0099757346993798,219
2020-12-01,,0,0.0010778765831312,220
2020-12-02,,0,0.0035030988951765,221
2020-12-03,,0,0.0048452220726783,222
2020-12-04,,0,0.0018817204301075,223
2020-12-07,,0,0.0150618612157073,224
2020-12-08,,0,0.0137023105857066,225
2020-12-09,,0,0.1036519871106337,226
2020-12-10,,0,0.0284563758389261,227
2020-12-11,,0,0.1010994904800214,228
2020-12-14,,0,0.016876506830967,229
2020-12-15,,0,0.015804982587731,230
2020-12-16,,0,0.0289079229122055,231
2020-12-17,,0,0.0072173215717722,232
2020-12-18,,0,0.0088117489986648,233
2020-12-21,,0,0.0042700827328529,234
2020-12-22,,0,0.0266737796745798,235
2020-12-23,,0,0.0106553010122535,236
2020-12-24,,0,0.0412782956058588,237
2020-12-25,,0,0.0090473656200106,238
2020-12-28,,0,0.0199362041467304,239
2020-12-29,,0,0.0098065200106016,240
2020-12-30,,0,0.0039745627980922,241
2020-12-31,,0,0.0013238019592268,242
2021-01-04,,0,0.0013227513227513,243
2021-01-05,,0,0.0058170280274986,244
2021-01-06,,0,0.0081967213114754,245
2021-01-07,,0,0.0348837209302325,246
2021-01-08,,0,0.0097702667018748,247
2021-01-11,,0,0.0338177014531043,248
2021-01-12,,0,0.0076577766041721,249
2021-01-13,,0,0.0211137503299023,250
2021-01-14,,0,0.0113486408023225,251
2021-01-15,0.25120772946859904,0,0.0013199577613516,252
2021-01-18,0.0,0,0.000263852242744,253
2021-01-19,0.2535885167464115,0,0.0013178703215603,254
2021-01-20,0.22380952380952382,0,0.0010545742156604,255
2021-01-21,0.0,0,0.0002635046113306,256
2021-01-22,0.6132075471698113,0,0.0063141278610891,257
2021-01-25,0.7934272300469484,0,0.0142067876874506,258
2021-01-26,0.794392523364486,0,0.0149921094160967,259
2021-01-27,0.5116279069767442,0,0.004471330878485,260
2021-01-28,0.8240740740740741,1,0.0170827858081471,261
2021-01-29,0.8525345622119815,1,0.0241533210816487,262
2021-02-01,0.7155963302752294,0,0.0102308499475341,263
2021-02-02,0.5981735159817352,0,0.0062959076600209,264
2021-02-03,0.8318181818181818,1,0.019931812221348,265
2021-02-04,0.9230769230769231,1,0.0346093340325118,266
2021-02-05,0.8423423423423423,1,0.0222863135815416,267
2021-02-08,0.6457399103139013,0,0.00786782061369,268
2021-02-09,0.24553571428571427,0,0.0013109596224436,269
2021-02-10,0.21333333333333335,0,0.001047668936616,270
2021-02-18,0.168141592920354,0,0.0007861635220125,271
2021-02-19,0.09691629955947137,0,0.0005239717055279,272
2021-02-22,0.6271929824561403,0,0.0070736180246266,273
2021-02-23,0.48034934497816595,0,0.0041895784236711,274
2021-02-24,0.6391304347826087,0,0.0075896362208845,275
2021-02-25,0.5281385281385281,0,0.0052328623757195,276
2021-02-26,0.5129310344827587,0,0.0049712192569335,277
2021-03-01,0.16738197424892703,0,0.0007851347814708,278
2021-03-02,0.0,0,0.0002617115938236,279
2021-03-04,0.5319148936170213,0,0.0052301255230125,281
2021-03-05,0.3644067796610169,0,0.0020898641588296,282
2021-03-08,0.7848101265822784,0,0.0138417341342387,283
2021-03-09,0.8697478991596639,1,0.0258350730688935,284
2021-03-10,0.6694560669456067,0,0.0086071987480438,285
2021-03-11,0.0,0,0.0002608922515001,286
2021-03-12,0.3817427385892116,0,0.0023468057366362,287
