slippage_bp,c0_equity,bad20_equity,delta,c0_total,bad20_total,delta_pp,c0_trades,bad20_trades
10,2785644.09,2889150.2,103506.11,178.56,188.92,10.35,101,98
20,2436742.09,2674361.05,237618.95,143.67,167.44,23.76,101,98
30,2053743.13,2183301.8,129558.67,105.37,118.33,12.96,101,98
