ts_code,name,entry_date,exit_date,levels_used,pnl,return_pct,hold_days,exit_date_bad20,levels_used_bad20,pnl_bad20,return_pct_bad20,hold_days_bad20,exit_date_madd,levels_used_madd,pnl_madd,return_pct_madd,hold_days_madd,exit_date_mcombined,levels_used_mcombined,pnl_mcombined,return_pct_mcombined,hold_days_mcombined
603259.SH,药明康德,2024-01-31,2024-03-04,2.0,58195.25401535997,14.8,17.0,2024-03-04,2.0,58195.25401535997,14.8,17.0,2024-03-04,2.0,58195.25401535997,14.8,17.0,2024-03-04,2.0,58195.25401535997,14.8,17.0
601318.SH,中国平安,2024-03-25,2024-04-26,2.0,23859.172982700053,6.04,22.0,2024-04-26,2.0,23859.172982700053,6.04,22.0,2024-04-26,2.0,23859.172982700053,6.04,22.0,2024-04-26,2.0,23859.172982700053,6.04,22.0
603019.SH,中科曙光,2024-03-28,2024-06-18,2.0,-6624.500770319917,-1.67,52.0,,,,,,2024-06-18,2.0,-6624.500770319917,-1.67,52.0,,,,,
000628.SZ,高新发展,2024-04-01,2024-05-20,3.0,-142719.90580781986,-24.09,30.0,,,,,,2024-05-20,3.0,-142719.90580781986,-24.09,30.0,,,,,
600519.SH,贵州茅台,2024-04-09,,,,,,2024-04-26,3.0,18495.41646546009,3.74,13.0,,,,,,2024-04-26,3.0,18495.41646546009,3.74,13.0
000628.SZ,高新发展,2024-04-11,,,,,,2024-05-20,1.0,-21399.75268991996,-10.86,24.0,,,,,,2024-05-20,1.0,-21399.75268991996,-10.86,24.0
600919.SH,江苏银行,2024-04-29,2024-05-16,1.0,17635.758307199983,8.83,10.0,2024-05-16,1.0,17635.758307199983,8.83,10.0,2024-05-16,1.0,17635.758307199983,8.83,10.0,2024-05-16,1.0,17635.758307199983,8.83,10.0
000625.SZ,长安汽车,2024-05-07,,,,,,2024-06-18,2.0,10845.209097540066,2.72,29.0,,,,,,2024-06-18,2.0,10845.209097540066,2.72,29.0
000725.SZ,京东方A,2024-05-29,2024-06-28,2.0,11182.190576640085,2.8,21.0,2024-06-28,2.0,11182.190576640085,2.8,21.0,2024-06-28,2.0,11182.190576640085,2.8,21.0,2024-06-28,2.0,11182.190576640085,2.8,21.0
000977.SZ,浪潮信息,2024-05-29,2024-06-19,1.0,10933.51549356,5.48,14.0,2024-06-19,1.0,10933.51549356,5.48,14.0,2024-06-19,1.0,10933.51549356,5.48,14.0,2024-06-19,1.0,10933.51549356,5.48,14.0
300059.SZ,东方财富,2024-07-01,2024-07-26,2.0,8802.937614240043,2.21,19.0,2024-07-26,2.0,8802.937614240043,2.21,19.0,2024-07-26,2.0,8802.937614240043,2.21,19.0,2024-07-26,2.0,8802.937614240043,2.21,19.0
600519.SH,贵州茅台,2024-07-09,2024-07-17,1.0,7666.96356360006,5.39,6.0,2024-07-17,1.0,7666.96356360006,5.39,6.0,2024-07-17,1.0,7666.96356360006,5.39,6.0,2024-07-17,1.0,7666.96356360006,5.39,6.0
