kind,n,c0_pnl,bad20_pnl,delta
drop_top_winner,1,982455.26,1112827.7,130372.44
drop_top_loser,1,1289008.97,1473694.7,184685.73
drop_top_winner,3,834293.38,963975.79,129682.42
drop_top_loser,3,1509267.67,1611389.35,102121.68
drop_top_winner,5,701727.58,828565.22,126837.63
drop_top_loser,5,1616696.74,1693449.22,76752.48
