seed,veto_count,final_equity,ret_pct,delta_c0
2131,8,2703519.616434243,-2.9481323375922464,-82124.47424761951
2132,10,2761574.3803619687,-0.8640626561163489,-24069.7103198939
2133,11,2927331.2254814724,5.08633300548198,141687.1347996099
2134,14,2460627.9401164115,-11.667540431767598,-325016.150565451
2135,12,2782569.8000325384,-0.11036193243809667,-3074.29064932419
2136,18,2343745.751584342,-15.863417030757642,-441898.33909752034
2137,10,2664506.0742145176,-4.348653759199117,-121138.01646734495
2138,16,2760187.9872910213,-0.9138318666046863,-25456.10339084128
2139,19,2837019.5778740374,1.844294731119045,51375.487192174885
2140,9,2519052.100472832,-9.570210031525416,-266591.99020903045
2141,15,2632310.6776886373,-5.504415065303359,-153333.41299322527
2142,12,2873224.543794769,3.1439929245041798,87580.45311290631
2143,10,2842718.6925682733,2.0488834907994358,57074.60188641073
2144,19,2774148.8395135035,-0.4126604402483247,-11495.251168359071
2145,7,2996469.0735351285,7.56826701438591,210824.98285326594
2146,12,2774262.895761393,-0.40856601022867256,-11381.194920469541
2147,8,2831161.725794244,1.6340075627263584,45517.63511238154
2148,9,2903007.511458428,4.213152037948875,117363.42077656556
2149,10,2455990.906797108,-11.834002232642115,-329653.1838847548
2150,11,2560146.8745446866,-8.094975840290475,-225497.2161371759
2151,17,2863528.1669417825,2.79590908689471,77884.07625991991
2152,9,2772343.254177433,-0.47747795739311316,-13300.836504429579
2153,8,2579078.7180240783,-7.4153540773122195,-206565.37265778426
2154,7,2792813.6203655335,0.257374217605677,7169.52968367096
2155,12,2840993.795782787,1.9869625587156658,55349.70510092424
2156,15,2405610.145439417,-13.642587957078955,-380033.94524244545
2157,18,3209241.816443337,15.206455382381145,423597.7257614746
2158,11,2621640.6314739473,-5.887452017166018,-164003.45920791524
2159,13,2823223.594714233,1.3490418305079244,37579.504032370634
2160,12,2838521.8589586876,1.898224128979864,52877.76827682508
2161,16,3153390.055682173,13.201469858638504,367745.96500031045
2162,13,2739148.482639917,-1.6691151679238514,-46495.60804194538
2163,15,2878017.451601709,3.3160503608066882,92373.36091984622
2164,13,2981053.3655243227,7.014868679603237,195409.27484246017
2165,13,2894009.4168802886,3.890135375187165,108365.32619842608
2166,14,2215639.047770443,-20.4622351009635,-570005.0429114196
2167,17,2379375.9352675723,-14.58435256583137,-406268.15541429026
2168,13,1941795.4273121136,-30.2927666241524,-843848.663369749
2169,15,2908312.626193188,4.4035968529382075,122668.53551132558
2170,22,2730381.2868691273,-1.983842946684844,-55262.80381273525
2171,17,2794454.275144772,0.3162710014671388,8810.184462909587
2172,19,3079663.5310038314,10.55480997394751,294019.44032196887
2173,11,2477566.9443792165,-11.05945828949152,-308077.146302646
2174,17,2782349.1675147875,-0.11828227367942645,-3294.9231670750305
2175,15,2319505.9813406477,-16.73358455591916,-466138.1093412149
2176,11,2547484.598492572,-8.54953053715467,-238159.49218929047
2177,16,2719387.821854273,-2.3784900967507183,-66256.2688275897
2178,18,2543901.0842133276,-8.678172752835833,-241743.00646853494
2179,11,2275551.1909270277,-18.311488587545142,-510092.8997548348
2180,9,2931787.133703698,5.246292715953627,146143.0430218354
2181,15,2503029.1443823534,-10.145407564622921,-282614.94629950915
2182,14,2646852.4552392233,-4.982389383730146,-138791.63544263924
2183,16,3049544.2686298476,9.473578438492769,263900.177947985
2184,11,3057729.9630127726,9.76743128244748,272085.87233091006
2185,14,3028780.2281740773,8.728183844645443,243136.1374922148
2186,12,2727661.636723368,-2.0814738735809524,-57982.45395849459
2187,14,2628571.2906394787,-5.638652854749148,-157072.80004238384
2188,16,2588972.5770270284,-7.060180958246298,-196671.51365483413
2189,14,2838400.234920988,1.893858027864992,52756.14423912531
2190,19,2387350.6298741675,-14.298074263686777,-398293.46080769505
2191,11,2898235.828090602,4.04185652378799,112591.73740873951
2192,22,2869491.0626879516,3.009967148587367,83846.97200608905
2193,10,2407700.7256579176,-13.567539596612033,-377943.365023945
2194,12,2794870.997295143,0.33123063510320794,9226.906613280531
2195,8,2894937.0369789675,3.9234353973178315,109292.94629710494
2196,9,2834580.2228903878,1.7567259353848952,48936.1322085252
2197,15,2806292.206910353,0.7412331064675426,20648.116228490602
2198,12,2738290.4702678877,-1.6999163881838086,-47353.62041397486
2199,19,2594440.725150378,-6.863883515165147,-191203.3655314846
2200,21,2620871.032965662,-5.915079326442885,-164773.0577162006
2201,14,3011213.2570695938,8.097558734881915,225569.1663877312
2202,18,2858714.036711167,2.623089800801459,73069.94602930453
2203,11,2683217.8906352473,-3.676930602485673,-102426.20004661521
2204,14,2886013.349430779,3.603089823450789,100369.25874891644
2205,14,2909651.135131193,4.451647102518974,124007.04444933031
2206,16,2567932.6330072777,-7.815480032170729,-217711.45767458482
2207,14,2636232.5132377683,-5.363627677487026,-149411.57744409423
2208,11,3077656.208166117,10.482750415282815,292012.1174842543
2209,15,2341794.9266320835,-15.93344840909432,-443849.16404977906
2210,15,2880115.7865780434,3.3913771042106244,94471.69589618081
2211,13,2206157.5547214784,-20.802604966614346,-579486.5359603842
2212,14,2528168.4538063677,-9.242948075698742,-257475.63687549485
2213,15,3081261.1620677123,10.612162277826709,295617.07138584973
2214,21,2332652.5520929773,-16.261644483018046,-452991.5385888852
2215,14,2439887.7110695215,-12.412080235551837,-345756.37961234106
2216,14,3239258.4483694322,16.284002655074836,453614.3576875697
2217,17,3039109.337449208,9.09898172617245,253465.24676734535
2218,16,2690364.829495176,-3.4203673579622396,-95279.26118668634
2219,11,3132580.4564495534,12.454439780308357,346936.3657676908
2220,18,2481359.221540888,-10.923321832779177,-304284.8691409747
2221,12,2631928.405229337,-5.518138012200236,-153715.6854525255
2222,13,2413995.9072093614,-13.34155302594776,-371648.1834725011
2223,13,3113978.889303563,11.786674389596264,328334.7986217006
2224,12,2801501.113375073,0.5692407995067539,15857.022693210281
2225,17,2231827.6816820325,-19.88109000903515,-553816.40899983
2226,16,2764595.465124057,-0.7556107267333356,-21048.62555780541
2227,10,2628918.9496441213,-5.626172473432467,-156725.1410377412
2228,20,2574201.2655786783,-7.590446525831219,-211442.8251031842
2229,22,2551602.3483354915,-8.401710151316678,-234041.74234637106
2230,12,2720509.1330966474,-2.3382368839973244,-65134.9575852151
2231,25,2982418.7670478737,7.063884328376102,196774.67636601115
2232,15,2492910.054098698,-10.508666112888454,-292734.0365831647
2233,17,3002907.6338450476,7.7994006445383235,217263.543163185
2234,12,2459426.620637423,-11.71066580743949,-326217.47004443966
2235,17,3361982.9149317383,20.689607339924066,576338.8242498757
2236,10,2879162.9780931277,3.3571728608148943,93518.88741126517
2237,12,2874618.8625180884,3.194046652759819,88974.77183622587
2238,14,2719064.8227343876,-2.3900852291283914,-66579.26794747496
2239,15,2894896.8586709723,3.9219930627378607,109252.76798910974
2240,16,2631852.4732832923,-5.520863843052027,-153791.6173985703
2241,9,2899556.6822942034,4.089272997702209,113912.59161234088
2242,14,3022658.405945329,8.508420585971233,237014.31526346644
2243,19,2558273.2154530683,-8.162237092289093,-227370.8752287943
2244,8,3321110.607648953,19.222359337226756,535466.5169670903
2245,10,2703457.3244494814,-2.95036851646987,-82186.76623238111
2246,19,2749487.904708568,-1.2979470742238375,-36156.185973294545
2247,11,2699072.125104953,-3.1077898955755967,-86571.96557690948
2248,10,3048216.169619378,9.425901888034938,262572.0789375156
2249,7,2894054.3898238824,3.891749829228308,108410.29914201982
2250,19,2234519.417171307,-19.784461171981693,-551124.6735105556
2251,15,3054852.728725483,9.664143346385812,269208.6380436206
2252,12,2962377.294131444,6.344428710069749,176733.20344958128
2253,18,2299485.4577169837,-17.452288129381177,-486158.6329648788
2254,17,2450895.4329357333,-12.01692128818188,-334748.6577461292
2255,10,2490776.197222117,-10.585268033561624,-294867.8934597457
2256,7,2368160.9355784627,-14.98695244305993,-417483.1551033999
2257,17,2956152.924136873,6.120984156783416,170508.83345501032
2258,20,3100613.160900523,11.306866920732972,314969.0702186604
2259,8,2665056.5561634772,-4.328892370771897,-120587.5345183853
2260,12,2759936.904523898,-0.9228453212654308,-25707.186157964636
2261,8,2583340.294530562,-7.262370552936681,-202303.79615130043
2262,16,2804147.016511117,0.6642243311393514,18502.925829254556
2263,16,2923553.867214658,4.950732112336653,137909.77653279528
2264,9,2537207.844757104,-8.918448941693303,-248436.24592475872
2265,23,2832388.1232117736,1.678033194774331,46744.032529911026
2266,13,2830553.054842402,1.6121572856619748,44908.964160539676
2267,10,2528675.917892743,-9.22473095714893,-256968.17278911965
2268,18,2914327.449246412,4.619519018779283,128683.35856454959
2269,17,2654963.540053218,-4.691214899483331,-130680.55062864441
2270,15,2877022.4247778933,3.280330549106991,91378.3340960308
2271,12,2995687.6903503127,7.54021665477862,210043.5996684502
2272,13,2773822.551803233,-0.42437362756330144,-11821.53887862945
2273,12,2435610.8079129225,-12.565613961231492,-350033.2827689401
2274,19,2335774.525544732,-16.149570817103665,-449869.5651371307
2275,23,2418707.791214432,-13.17240420967105,-366936.29946743045
2276,6,2956369.6466387776,6.128764134944653,170725.55595691502
2277,14,2887332.2752165077,3.6504370703636546,101688.18453464517
2278,13,2912445.5534225074,4.551962081760652,126801.46274064481
2279,12,2526474.1387820933,-9.303771173306286,-259169.95189976925
2280,18,3203266.158280162,14.991939171097602,417622.0675982996
2281,13,2800108.4010767816,0.5192447392437183,14464.310394919012
2282,8,2663511.8707953924,-4.3843440120369,-122132.21988647012
2283,10,2907638.087041638,4.379382016814426,121993.99635977531
2284,14,2894040.910330208,3.8912659377750014,108396.81964834547
2285,17,3296669.0754981423,18.344948894429393,511024.9848162797
2286,17,2542552.1415516585,-8.726597555781101,-243091.94913020404
2287,15,2830237.7363742925,1.6008378759367892,44593.64569242997
2288,11,2690589.830245383,-3.4122902044249392,-95054.26043647947
2289,14,3024681.5031425427,8.581046417963933,239037.41246068012
2290,14,2695979.8494051336,-3.218797461479772,-89664.24127672892
2291,11,2564547.694047017,-7.936993723441754,-221096.39663484553
2292,9,2912432.489422152,4.551493105827964,126788.39874028927
2293,13,2782905.396426232,-0.09831457883624495,-2738.6942556304857
2294,15,2426909.202251602,-12.877987163911175,-358734.8884302606
2295,14,3304268.790551667,18.617766052907967,518624.69986980455
2296,13,2750795.115884633,-1.2510203623571803,-34848.97479722975
2297,9,2606814.507340667,-6.419685269176734,-178829.5833411957
2298,11,3345555.2453926634,20.099881265655405,559911.1547108009
2299,11,2598824.043793304,-6.706529650125881,-186820.04688855866
2300,19,2711102.4321521223,-2.675921837218409,-74541.65852974029
2301,19,2711333.7565414375,-2.6676176755313974,-74310.33414042508
2302,9,2751648.396273298,-1.2203890124471317,-33995.69440856436
2303,16,2234546.120569987,-19.783502564284117,-551097.9701118753
2304,8,2811290.685057673,0.9206701768398773,25646.594375810586
2305,19,2600529.1957790186,-6.6453175235868684,-185114.89490284398
2306,12,2887904.5039472533,3.6709791321675844,102260.41326539079
2307,12,2822396.7374903327,1.3193590283629542,36752.646808470134
2308,11,2608117.7873489386,-6.372899679709965,-177526.3033329239
2309,12,2500101.1907419874,-10.250516241289843,-285542.8999398751
2310,11,2428860.746486723,-12.80792996451342,-356783.3441951396
2311,11,2794068.9573542075,0.30243873223168016,8424.866672344971
2312,5,2979380.0464517283,6.954799301817616,193735.95576986577
2313,21,3245733.555544667,16.516448257041503,460089.4648628044
2314,24,2860702.253350978,2.694463478668685,75058.16266911523
2315,13,2778961.595356008,-0.2398904924074019,-6682.495325854514
2316,11,2766020.4082096573,-0.7044576346938114,-19623.682472205255
2317,14,2955930.636345528,6.1130043939670475,170286.5456636655
2318,14,2700397.1886330075,-3.060222313898997,-85246.90204885509
2319,9,2836239.546877083,1.8162929128119787,50595.45619522035
2320,11,2757606.4298871076,-1.006505493237364,-28037.66079475498
2321,17,2662880.7712081526,-4.406999439891123,-122763.31947370991
2322,18,2484265.615459083,-10.818987114359214,-301378.47522277944
2323,7,2918588.099612614,4.7724692962556325,132944.0089307516
2324,14,2504619.3921218826,-10.088320309835108,-281024.6985599799
2325,14,2525982.745471807,-9.321411377664413,-259661.34521005535
2326,11,2380360.821640687,-14.548996779483458,-405283.2690411755
2327,25,2727439.7917771065,-2.089437738993749,-58204.298904756084
2328,15,2803197.197214597,0.6301273946463848,17553.106532734353
2329,12,2218490.393078572,-20.359876536290177,-567153.6976032904
2330,12,2630125.172850281,-5.582871062093009,-155518.91783158155
2331,11,2928972.2397058727,5.1452426928282335,143328.14902401017
2332,13,2516301.923158531,-9.668936833111463,-269342.1675233315
2333,15,2540698.0334977773,-8.79315695797046,-244946.05718408525
2334,14,2141770.8857785435,-23.113979530160055,-643873.204903319
2335,14,2826737.110526687,1.4751712173957543,41093.01984482445
2336,18,2396413.2724858327,-13.972740433640784,-389230.81819602987
2337,11,2481627.5006465176,-10.913691058103858,-304016.59003534494
2338,9,2364562.6018573726,-15.116126652110061,-421081.48882449
2339,13,2682924.1504901177,-3.6874753862257137,-102719.94019174483
2340,21,2856464.380673497,2.5423308824171764,70820.28999163443
2341,15,2682785.0106690126,-3.6924702748969085,-102859.08001285
2342,20,2675975.1873271666,-3.9369316317739433,-109668.903354696
2343,16,3087583.860873113,10.839136672242367,301939.77019125037
2344,18,2760444.989397643,-0.904605917479262,-25199.101284219418
2345,12,2908426.9379555583,4.407700455503671,122782.84727369575
2346,16,2473631.731957323,-11.200725884840734,-312012.35872453963
2347,16,2938342.451821777,5.481617757656099,152698.3611399145
2348,16,3128464.9015362025,12.306698188799325,342820.81085434
2349,15,2764061.942466708,-0.7747633047361702,-21582.14821515465
2350,13,3159065.480083568,13.40520817612061,373421.38940170547
2351,10,2687713.213841008,-3.515555959515393,-97930.87684085453
2352,7,2687183.973867228,-3.5345547962853385,-98460.11681463476
2353,10,2264423.876695282,-18.710940702370838,-521220.2139865807
2354,10,2649323.6268417872,-4.8936784241775495,-136320.4638400753
2355,10,2649909.806525778,-4.8726355463041156,-135734.28415608453
2356,13,2558965.800890933,-8.137374424434963,-226678.28979092976
2357,19,2868732.6281152433,2.982740606070844,83088.53743338073
2358,14,2838145.995066457,1.8847312390055881,52501.90438459441
2359,16,2404032.953717903,-13.699206522486874,-381611.1369639598
2360,9,2424969.5037539275,-12.947619120992949,-360674.586927935
2361,6,2583181.326281912,-7.268077249250893,-202462.7643999504
2362,13,2702213.2778601386,-2.995027724496635,-83430.81282172399
2363,14,2750735.263918218,-1.2531689486254272,-34908.82676364435
2364,12,2604170.6021013623,-6.514597079631934,-181473.48858050024
2365,13,2440319.6179074924,-12.396575496830343,-345324.4727743701
2366,8,2625982.4591992577,-5.731587607213795,-159661.6314826049
2367,10,2606490.5783725176,-6.431313781563974,-179153.51230934495
2368,13,2542725.494456078,-8.720374474196513,-242918.59622578463
2369,24,2769508.9704158776,-0.5792240408585503,-16135.120265984908
2370,9,2606729.694933913,-6.422729893830592,-178914.39574794937
2371,14,2822269.1642431626,1.3147793605009728,36625.07356130006
2372,17,2694104.8612465877,-3.28610642477547,-91539.22943527484
2373,15,2635427.7855577483,-5.3925160657313125,-150216.30512411427
2374,15,2659122.628245268,-4.541910535513704,-126521.46243659453
2375,12,3181628.506202542,14.215183369809159,395984.4155206797
2376,11,2745420.7637722227,-1.4439506843027528,-40223.32690963987
2377,12,2754272.2379443226,-1.1261974507971284,-31371.852737539914
2378,17,3002419.2228304637,7.781867499646711,216775.13214860111
2379,15,2973003.7436631527,6.7259006133633115,187359.65298129013
2380,11,2382315.815311267,-14.478815751077157,-403328.2753705955
2381,15,2536166.1761746425,-8.955843115125074,-249477.91450722003
2382,11,2866845.4601400825,2.914994407571414,81201.36945821997
2383,22,2789659.0147791076,0.1441291122105337,4014.9240972450934
2384,13,2369357.5848008688,-14.943994721848918,-416286.5058809938
2385,12,3094637.766556363,11.092360180114259,308993.67587450054
2386,10,2623148.0652501574,-5.83333764622923,-162496.02543170517
2387,14,2698836.099551429,-3.1162628212559995,-86807.99113043351
2388,13,2545669.898683992,-8.614675248736825,-239974.19199787034
2389,16,2911063.7169759218,4.502356446525058,125419.62629405921
2390,16,2671550.409781923,-4.095773802604197,-114093.6808999395
2391,14,3032888.290763798,8.87565647416988,247244.20008193562
2392,19,2769565.044422997,-0.5772110770593697,-16079.04625886539
2393,16,1990443.5077096536,-28.54638127075171,-795200.582972209
2394,15,2778409.342966122,-0.25971543672578257,-7234.747715740465
2395,17,2628549.7126789135,-5.6394274677242,-157094.37800294906
2396,5,2850299.4106245385,2.321018688602461,64655.319942676
2397,18,2854454.947625483,2.470195570704692,68810.85694362037
2398,11,2517946.008563008,-9.60991689549715,-267698.0821188544
2399,19,2646752.006935322,-4.985995311143377,-138892.08374654036
2400,10,2363301.3375572814,-15.161403947379416,-422342.7531245812
2401,17,2530356.3676409866,-9.16440559994106,-255287.72304087598
2402,16,2534454.343173357,-9.017295079035737,-251189.74750850536
2403,9,3153970.1707288777,13.222295026097797,368326.0800470151
2404,14,2687593.988383047,-3.5198359555981606,-98050.10229881573
2405,13,3269423.9946423788,17.366895705692897,483779.9039605162
2406,10,2868139.812608088,2.961459513158138,82495.72192622535
2407,16,2525580.9015432578,-9.335836907827922,-260063.1891386048
2408,14,3086848.711855028,10.812746042493782,301204.6211731653
2409,16,2929754.8543412983,5.173337259468802,144110.7636594358
2410,7,2832455.010948272,1.6804343535125277,46810.920266409405
2411,16,2665268.162670752,-4.3212960483277385,-120375.92801111052
2412,14,2803516.452678832,0.6415881359989051,17872.361996969674
2413,12,2565195.344698713,-7.913744139840507,-220448.7459831494
2414,17,3062844.740152489,9.951043293645379,277200.6494706264
2415,22,2632307.4928650027,-5.504529395186541,-153336.59781685984
2416,12,2668397.1260836273,-4.208971454409161,-117246.96459823521
2417,12,2780547.8463290534,-0.18294671490362013,-5096.2443528091535
2418,12,2683895.843867451,-3.6525932065322064,-101748.2468144116
2419,20,2648115.678800973,-4.937041754218708,-137528.41188088944
2420,16,2440525.7831155574,-12.389174507997824,-345118.30756630516
2421,15,2751556.659089543,-1.223682225103484,-34087.431592319626
2422,17,2711693.595466353,-2.654700055289838,-73950.49521550955
2423,13,2951603.954921509,5.957683711095463,165959.8642396466
2424,17,2528256.8328096126,-9.239775416149708,-257387.25787224993
2425,12,3090509.375879694,10.944157806003396,304865.2851978312
2426,14,2762977.8736650776,-0.813679575671733,-22666.21701678494
2427,12,2842938.6707668724,2.0567803430690645,57294.5800850098
2428,18,2381609.8647257984,-14.504158205550432,-404034.2259560642
2429,15,2792631.249240813,0.2508273968782504,6987.158558950294
2430,15,2589811.0252057575,-7.030082060058495,-195833.06547610508
2431,11,2566239.8617189117,-7.876247712221041,-219404.22896295087
2432,20,2807712.7492325925,0.7922282184056106,22068.658550729975
2433,22,2687824.8825655775,-3.51154723762076,-97819.20811628504
2434,15,2629095.276439932,-5.619842634082184,-156548.81424193038
2435,23,2221748.531112563,-20.2429147878425,-563895.5595692997
2436,9,2947102.7368471036,5.796097452123528,161458.64616524102
2437,10,2625696.4687931268,-5.741854188184692,-159947.6218887358
2438,14,3159097.9843940185,13.406375026923945,373453.893712156
2439,14,2749615.3552593817,-1.2933718109574333,-36028.73542248085
2440,16,2909209.8340420877,4.435805125771797,123565.74336022511
2441,14,2978633.4609630127,6.927998121752532,192989.3702811501
2442,10,3093437.2098386986,11.049262186308063,307793.11915683607
2443,14,2924023.7561190478,4.967600344210266,138379.6654371852
2444,6,2559466.069665827,-8.1194156056265,-226178.0210160357
2445,20,2323556.896837943,-16.588163412175582,-462087.1938439198
2446,14,2616148.4826979535,-6.084611043847332,-169495.60798390908
2447,15,2777724.9887361364,-0.2842826178769964,-7919.101945726201
2448,16,2399790.6353509836,-13.851498711611466,-385853.45533087896
2449,13,2723094.634811958,-2.2454216631311974,-62549.45586990472
2450,9,2739800.147449287,-1.6457214827237276,-45843.94323257543
2451,17,2968746.824977843,6.573084297038134,183102.73429598054
2452,15,2427430.772319618,-12.85926366402974,-358213.3183622444
2453,9,2665737.5296226367,-4.304446553682862,-119906.56105922582
2454,13,2597473.622463193,-6.755007534814328,-188170.46821866976
2455,12,2642060.9553007875,-5.154396279889772,-143583.1353810751
2456,18,2316492.6887267386,-16.841756760113824,-469151.401955124
2457,22,2392526.654526382,-14.112263568432182,-393117.43615548033
2458,13,2345924.079819678,-15.78521866210666,-439720.0108621847
2459,21,2861502.126994419,2.7231776150552056,75858.03631255636
2460,8,2511896.1454667673,-9.827096940732583,-273747.9452150953
2461,16,2314149.0785368322,-16.925888476643802,-471495.0121450303
2462,18,3327529.054551288,19.45277092942568,541884.9638694255
2463,16,2520119.2583273486,-9.53190083552703,-265524.8323545139
2464,8,2807884.1463142238,0.7983810891978527,22240.05563236121
2465,14,2996999.1363877677,7.587295391141313,211355.04570590518
2466,5,2660156.581432753,-4.504793331957679,-125487.50924910977
2467,22,2394611.855146668,-14.037408326613566,-391032.23553519463
2468,15,2573940.807174063,-7.599796550318805,-211703.28350779973
2469,9,2728928.3217169777,-2.036001984410074,-56715.7689648848
2470,15,2663037.645705308,-4.40136790578094,-122606.44497655472
2471,19,3012999.0551801226,8.161665923467233,227354.96449826006
2472,11,2772672.0263585784,-0.46567558169675616,-12972.064323284198
2473,17,3127572.6572378324,12.274668099192576,341928.5665559699
2474,16,2815264.174725669,1.0633118618019965,29620.08404380642
