tag,mode,year,ret_pct
2022,c0,2020,31.72
2022,c0,2021,31.96
2022,c0,2022,12.14
2022,bad20,2020,31.72
2022,bad20,2021,31.96
2022,bad20,2022,16.56
2022,madd,2020,31.72
2022,madd,2021,31.96
2022,madd,2022,9.22
2022,mcombined,2020,31.72
2022,mcombined,2021,31.96
2022,mcombined,2022,15.69
2023,c0,2020,31.72
2023,c0,2021,31.96
2023,c0,2022,12.21
2023,c0,2023,21.41
2023,bad20,2020,31.72
2023,bad20,2021,31.96
2023,bad20,2022,12.21
2023,bad20,2023,16.7
2023,madd,2020,31.72
2023,madd,2021,31.96
2023,madd,2022,12.21
2023,madd,2023,21.41
2023,mcombined,2020,31.72
2023,mcombined,2021,31.96
2023,mcombined,2022,12.21
2023,mcombined,2023,16.7
2024,c0,2020,31.72
2024,c0,2021,31.96
2024,c0,2022,12.21
2024,c0,2023,21.51
2024,c0,2024,18.1
2024,bad20,2020,31.72
2024,bad20,2021,31.96
2024,bad20,2022,12.21
2024,bad20,2023,21.51
2024,bad20,2024,27.09
2024,madd,2020,31.72
2024,madd,2021,31.96
2024,madd,2022,12.21
2024,madd,2023,21.51
2024,madd,2024,18.1
2024,mcombined,2020,31.72
2024,mcombined,2021,31.96
2024,mcombined,2022,12.21
2024,mcombined,2023,21.51
2024,mcombined,2024,27.09
CONCAT,c0,2020,31.72
CONCAT,c0,2021,31.96
CONCAT,c0,2022,12.21
CONCAT,c0,2023,21.51
CONCAT,c0,2024,18.1
CONCAT,bad20,2020,31.72
CONCAT,bad20,2021,31.96
CONCAT,bad20,2022,16.61
CONCAT,bad20,2023,10.61
CONCAT,bad20,2024,29.72
CONCAT,madd,2020,31.72
CONCAT,madd,2021,31.96
CONCAT,madd,2022,9.29
CONCAT,madd,2023,25.78
CONCAT,madd,2024,18.24
CONCAT,mcombined,2020,31.72
CONCAT,mcombined,2021,31.96
CONCAT,mcombined,2022,15.75
CONCAT,mcombined,2023,10.5
CONCAT,mcombined,2024,29.6
