seed,final_equity,ret_pct,delta_c0
5000,2724442.507292793,-2.197035277901871,-61201.58338906942
5001,2708312.6682668477,-2.77606973100738,-77331.42241501482
5002,2755585.4064610424,-1.0790568802873324,-30058.6842208202
5003,2785644.0906818626,0.0,0.0
5004,2724442.507292793,-2.197035277901871,-61201.58338906942
5005,2724442.507292793,-2.197035277901871,-61201.58338906942
5006,2715143.496306797,-2.530854340326316,-70500.59437506553
5007,2785644.0906818626,0.0,0.0
5008,2715143.496306797,-2.530854340326316,-70500.59437506553
5009,2755585.4064610424,-1.0790568802873324,-30058.6842208202
5010,2755585.4064610424,-1.0790568802873324,-30058.6842208202
5011,2724442.507292793,-2.197035277901871,-61201.58338906942
5012,2755585.4064610424,-1.0790568802873324,-30058.6842208202
5013,2815479.886275697,1.071055548468558,29835.795593834482
5014,2755585.4064610424,-1.0790568802873324,-30058.6842208202
5015,2755585.4064610424,-1.0790568802873324,-30058.6842208202
5016,2724442.507292793,-2.197035277901871,-61201.58338906942
5017,2755585.4064610424,-1.0790568802873324,-30058.6842208202
5018,2785644.0906818626,0.0,0.0
5019,2785644.0906818626,0.0,0.0
5020,2755585.4064610424,-1.0790568802873324,-30058.6842208202
5021,2724442.507292793,-2.197035277901871,-61201.58338906942
5022,2708312.6682668477,-2.77606973100738,-77331.42241501482
5023,2708312.6682668477,-2.77606973100738,-77331.42241501482
5024,2724442.507292793,-2.197035277901871,-61201.58338906942
5025,2708312.6682668477,-2.77606973100738,-77331.42241501482
5026,2755585.4064610424,-1.0790568802873324,-30058.6842208202
5027,2815479.886275697,1.071055548468558,29835.795593834482
5028,2724442.507292793,-2.197035277901871,-61201.58338906942
5029,2724442.507292793,-2.197035277901871,-61201.58338906942
5030,2755585.4064610424,-1.0790568802873324,-30058.6842208202
5031,2755585.4064610424,-1.0790568802873324,-30058.6842208202
5032,2755585.4064610424,-1.0790568802873324,-30058.6842208202
5033,2785644.0906818626,0.0,0.0
5034,2755585.4064610424,-1.0790568802873324,-30058.6842208202
5035,2724442.507292793,-2.197035277901871,-61201.58338906942
5036,2755585.4064610424,-1.0790568802873324,-30058.6842208202
5037,2833859.981702713,1.7308704720080836,48215.89102085028
5038,2724442.507292793,-2.197035277901871,-61201.58338906942
5039,2785644.0906818626,0.0,0.0
5040,2833859.981702713,1.7308704720080836,48215.89102085028
5041,2815479.886275697,1.071055548468558,29835.795593834482
5042,2755585.4064610424,-1.0790568802873324,-30058.6842208202
5043,2833859.981702713,1.7308704720080836,48215.89102085028
5044,2785644.0906818626,0.0,0.0
5045,2708312.6682668477,-2.77606973100738,-77331.42241501482
5046,2785644.0906818626,0.0,0.0
5047,2755585.4064610424,-1.0790568802873324,-30058.6842208202
5048,2785644.0906818626,0.0,0.0
5049,2724442.507292793,-2.197035277901871,-61201.58338906942
5050,2724442.507292793,-2.197035277901871,-61201.58338906942
5051,2785644.0906818626,0.0,0.0
5052,2811588.605038413,0.9313650097417803,25944.514356550295
5053,2755585.4064610424,-1.0790568802873324,-30058.6842208202
5054,2815479.886275697,1.071055548468558,29835.795593834482
5055,2833859.981702713,1.7308704720080836,48215.89102085028
5056,2708312.6682668477,-2.77606973100738,-77331.42241501482
