ts_code,name,entry_date,exit_date,c0_levels,madd_levels,c0_pnl,madd_pnl,pnl_delta
601012.SH,隆基绿能,2022-04-01,2022-05-19,2,3,32134.95,62211.4,30076.45
300014.SZ,亿纬锂能,2022-03-04,2022-06-01,5,4,156271.15,110533.65,-45737.51
600519.SH,贵州茅台,2022-10-13,2022-11-29,4,3,13393.85,-6189.3,-19583.15
