date,kind,order,n,action,ts_code
2022-03-10,ADD_RANK,"['000858.SZ', '300014.SZ']",2.0,reordered,
2022-04-26,ADD_RANK,"['300014.SZ', '601012.SH', '300122.SZ']",3.0,reordered,
2022-10-28,ADD_RANK,"['600519.SH', '000568.SZ']",2.0,reordered,
2023-05-09,BAD_VETO,,,vetoed,688981.SH
2023-06-07,BAD_VETO,,,vetoed,300750.SZ
2023-06-26,BAD_VETO,,,vetoed,300418.SZ
2023-07-20,BAD_VETO,,,vetoed,300308.SZ
2023-07-20,BAD_VETO,,,vetoed,000063.SZ
2023-07-31,BAD_VETO,,,vetoed,600276.SH
2023-09-07,BAD_VETO,,,vetoed,002475.SZ
