veto,removed_n,removed_pct,removed_win_pct,removed_avg_return_pct,removed_sum_pnl,foregone_profit,avoided_loss,net_effect,total_return_pct,cagr_pct,max_dd_pct,sharpe,win_pct,avg_trade_pct,trades_per_year,exposure_pct,kept_sum_pnl,pnl_delta_pct,exposure_adj_base_per_1k_hold_days,exposure_adj_kept_per_1k_hold_days,foregone_pct_of_avoided,top1_stock_pct_of_veto_pnl
G2,34442,55.71,78.72,5.3249,436575006.28,953574979.46,516999973.18,436575006.28,1.9749,0.3861,-13.0814,2.4805,76.85,4.8156,5477.2,99.9,266098983.89,-62.13,348414.84,302526.16,184.4,0.2
G3,14884,24.07,77.56,4.9448,159218055.1,388668753.86,229450698.76,159218055.1,2.3455,0.4578,-30.335,1.4229,78.0,5.1483,9388.8,99.9,543455935.07,-22.66,348414.84,356423.68,169.4,0.5
G4,28090,45.43,78.43,5.2323,347544024.84,771625936.39,424081911.54,347544024.84,2.1477,0.4196,-10.8269,2.4944,77.44,4.9886,6747.6,99.9,355129965.33,-49.46,348414.84,327767.9,182.0,0.2
G5,7015,11.35,78.0,4.9855,81308390.52,188665596.47,107357205.94,81308390.52,2.2973,0.4485,-16.2613,2.1231,77.88,5.1139,10962.6,99.9,621365599.65,-11.57,348414.84,348633.86,175.7,0.7
