tail_cut,n,worst_cutoff_return_pct,G2_share_pct,G2_enrichment,G3_share_pct,G3_enrichment,G4_share_pct,G4_enrichment,G5_share_pct,G5_enrichment
0.05,3091,-12.257690501801726,56.09835004852799,1.007,23.972824328696216,0.996,45.9398252992559,1.011,10.999676480103526,0.969
0.1,6182,-5.911556410722558,54.17340666450987,0.972,24.733096085409255,1.027,44.613393723714005,0.982,11.484956324813975,1.012
0.2,12365,-0.6768040023363161,53.699959563283464,0.964,24.342903356247472,1.011,44.415689446016984,0.978,11.289931257581884,0.995
