group,n,win_pct,avg_return_pct,median_return_pct,p10,p25,p75,p90,worst_trade_pct,best_trade_pct,avg_hold_days,sum_pnl,pnl_share_pct
ALL,61828,77.89189364042181,5.099311793428296,5.4710601826715735,-5.911241850170966,0.7866590315014605,10.31294979543018,16.068120230589148,-85.98333389136019,83.60623096522733,32.61910461279679,702673990.1697752,100.0
G1,27955,76.91289572527276,4.78833780619027,5.249329259445736,-6.185829840177041,0.5581433686387327,9.941248587487433,15.604126413984881,-75.5146673261157,77.17109545078861,32.11937041674119,268154030.00505865,38.161940495373834
G2,34442,78.72365135590267,5.324909309604875,5.649476377240905,-5.734402201208173,0.9958068328944125,10.571629082542604,16.35872666316249,-85.98333389136019,83.60623096522733,33.0173625225016,436575006.27643394,62.13052032436147
G3,14884,77.55979575382962,4.944801018991366,5.345795945745303,-6.122731457382715,0.6748908294966427,10.39495441944925,15.959641743380253,-57.97055941698408,56.88087477941236,33.05744423542058,159218055.0954339,22.65887983942094
G4,28090,78.43360626557494,5.232297247455035,5.57735809101883,-5.814794498776203,0.897585445700442,10.52951482549325,16.276153964158894,-67.0659227944384,83.60623096522733,33.225133499466004,347544024.8436837,49.460209102049234
G5,7015,78.00427655024946,4.985533786220368,5.221518329059923,-6.024952537233299,0.7438475090294665,10.427077592675243,15.92065940386548,-55.74223394378374,55.695832619046456,33.426514611546686,81308390.52263898,11.571282224775931
