group,n,mean_diff_vs_G1_pp,mean_obs_diff,mean_ci_lo,mean_ci_hi,win_obs_diff,win_ci_lo,win_ci_hi,tail_prob_obs_diff,tail_prob_ci_lo,tail_prob_ci_hi,mannwhitney_u,mannwhitney_p,hedges_g
G2,34442,0.5366,0.53818,0.37655,0.70281,0.01815,0.01153,0.02476,-0.01811,-0.02478,-0.01167,498707352.5,1.0822867036812169e-14,0.0521
G3,14884,0.1565,0.15461,-0.04056,0.35427,0.00639,-0.00192,0.01468,-0.0065,-0.01512,0.00182,210991490.0,0.015487514788560162,0.0155
G4,28090,0.444,0.44586,0.27793,0.61424,0.01519,0.00827,0.02213,-0.01524,-0.0221,-0.00857,404533809.5,5.071357986571339e-10,0.0434
G5,7015,0.1972,0.19639,-0.06761,0.46361,0.0109,-0.00012,0.02172,-0.0109,-0.02194,2e-05,99433846.0,0.06759679130216663,0.0196
