ts_code,end_date,ann_date,pre_date,actual_date,match
000016.SZ,20241231,20250324,20250415,20250415,OTHER
000020.SZ,20241231,20241231,20250422,20250422,OTHER
000417.SZ,20241231,20241231,20250425,20250425,OTHER
000419.SZ,20241231,20241231,20250419,20250419,OTHER
000505.SZ,20241231,20241231,20250329,20250329,OTHER
000608.SZ,20241231,20250219,20250419,20250419,OTHER
000637.SZ,20241231,20241231,20250429,20250429,OTHER
000680.SZ,20241231,20241231,20250423,20250423,OTHER
000688.SZ,20241231,20241231,20250322,20250322,OTHER
000695.SZ,20241231,20241231,20250419,20250419,OTHER
000698.SZ,20241231,20241231,20250424,20250424,OTHER
000702.SZ,20241231,20241231,20250403,20250403,OTHER
000735.SZ,20241231,20241231,20250419,20250419,OTHER
000737.SZ,20241231,20241231,20250425,20250425,OTHER
000751.SZ,20241231,20241231,20250425,20250425,OTHER
000759.SZ,20241231,20250207,20250426,20250426,OTHER
000793.SZ,20241231,20241231,20250426,20250426,OTHER
000796.SZ,20241231,20241231,20250424,20250424,OTHER
000802.SZ,20241231,20241231,20250419,20250419,OTHER
000821.SZ,20241231,20241231,20250426,20250426,OTHER
000826.SZ,20241231,20250418,20250429,20250429,OTHER
000878.SZ,20241231,20241231,20250326,20250326,OTHER
000893.SZ,20241231,20241231,20250424,20250424,OTHER
000903.SZ,20241231,20250426,20250430,20250430,OTHER
000935.SZ,20241231,20241231,20250429,20250429,OTHER
000955.SZ,20241231,20241231,20250403,20250403,OTHER
000968.SZ,20241231,20241231,20250425,20250425,OTHER
000978.SZ,20241231,20241231,20250412,20250412,OTHER
000980.SZ,20241231,20241231,20250428,20250428,OTHER
002008.SZ,20241231,20241231,20250422,20250422,OTHER
002016.SZ,20241231,20250320,20250424,20250424,OTHER
002092.SZ,20241231,20241231,20250315,20250315,OTHER
002097.SZ,20241231,20241231,20250426,20250426,OTHER
002104.SZ,20241231,20241231,20250428,20250428,OTHER
002141.SZ,20241231,20241231,20250429,20250429,OTHER
002161.SZ,20241231,20241231,20250428,20250428,OTHER
002166.SZ,20241231,20241231,20250328,20250328,OTHER
