kind,n_rows,f_ann_missing_rows,f_ann_eq_rows,f_ann_lt_rows,f_ann_gt_rows,f_ann_gt_pct,delta_days,group_counts
income,191436,0,188293,0,3143,1.6418,"{'min': 1, 'p1': 2.0, 'p5': 17.0, 'median': 295.0, 'p95': 1094.8999999999996, 'p99': 1467.0, 'max': 2905}","{'eq': 131526, 'gt': 1993}"
cashflow,188969,0,186933,0,2036,1.0774,"{'min': 1, 'p1': 2.3500000000000014, 'p5': 14.0, 'median': 182.0, 'p95': 897.75, 'p99': 1218.65, 'max': 1902}","{'eq': 131918, 'gt': 1443}"
