episode_id,ts_code,pnl,signal_date,entry_date,exit_date,exit_type,levels_used,total_cost,simple_return_pct,hold_days,MAE_close_pct,MAE_intraday_pct,MFE_close_pct,MFE_intraday_pct,final_price_path_return_pct,time_to_MAE_days,time_to_MFE_days,time_to_break_even_days,max_underwater_duration_days,first_recovery_after_MAE_days,economic_MAE_pct,economic_MFE_pct,economic_exit_nav,economic_max_underwater_days,giveback_intraday_pct,giveback_close_pct,capture_ratio_close,capture_ratio_intraday,n_path_days,post_ret_1d,post_mfe_1d,post_mae_1d,post_ret_3d,post_mfe_3d,post_mae_3d,post_ret_5d,post_mfe_5d,post_mae_5d,post_ret_10d,post_mfe_10d,post_mae_10d,post_ret_20d,post_mfe_20d,post_mae_20d,post_ret_40d,post_mfe_40d,post_mae_40d,post_ret_60d,post_mfe_60d,post_mae_60d,post_peak_retrace60
1,000651.SZ,34493.66542908002,2020-03-19,2020-03-20,2020-04-13,TAKE_PROFIT_DYN,2,393537.33511091996,8.76502998612771,15,-2.977842993628299,-3.253810120424161,11.392159537384483,12.33833254354173,8.307241298559397,1,15,0.0,1,,-2.977842993628299,10.237019927719526,10.237019927719526,1,3.5733025574140207,2.6271295512567736,0.8171796041380643,0.77082671481245,16,2.648102648102646,2.648102648102646,2.648102648102646,0.06370006370006731,2.648102648102646,-0.973700973700975,-0.8463008463008515,2.648102648102646,-0.973700973700975,-1.5743015743015731,2.648102648102646,-2.811902811902811,6.597506597506597,7.38010738010737,-2.811902811902811,7.234507234507248,13.549913549913551,-2.811902811902811,8.199108199108206,13.549913549913551,-2.811902811902811,9.873377143773054
2,600030.SH,4823.841875580023,2020-03-16,2020-03-17,2020-04-14,TAKE_PROFIT_DYN,2,396941.61999492,1.2152522266729697,19,-5.003771207072671,-7.0868315003849265,0.7246445995360062,3.328469966176306,-0.24315389215474603,4,19,19.0,19,15.0,-4.863533405791953,0.0,-0.2217674294866523,20,2.1132177395033365,-0.4906076271369635,1.0856445557899213,0.7971045056844576,20,0.14360296846172016,0.14360296846172016,0.14360296846172016,1.7097062294802345,2.9712894119673816,0.14360296846172016,0.7961459938861104,2.9712894119673816,0.14360296846172016,1.3181804142256004,2.9712894119673816,-1.248488819110305,1.9707234396499906,3.6238324373917497,-1.248488819110305,-1.640014634364928,3.6238324373917497,-3.3801293688299427,39.33968736228621,45.73460901144515,-3.3801293688299427,5.1641791044776015
3,300750.SZ,-5868.628322039847,2020-02-28,2020-03-02,2020-04-15,TAKE_PROFIT_DYN,3,575698.61673324,-1.0193924653390611,31,-22.6421992992598,-24.41996044301519,4.9238945492547925,7.738083242406013,-6.670994711340505,15,1,0.0,24,,-20.18349431718789,6.193250301250974,-3.8260003800721587,23,8.757475707745074,5.943287014593854,0.784398651210639,0.7276738661899615,32,2.5293398174753845,2.5293398174753845,2.5293398174753845,3.732391867985063,5.61408866493609,2.5293398174753845,0.9098466725585119,5.61408866493609,0.6553548926430119,6.9790900299374625,6.9790900299374625,0.1772188212866066,9.362058514600879,12.431383617824277,0.1772188212866066,21.616223311138526,26.459279001651858,0.1772188212866066,59.65888847244776,72.83076605110502,0.1772188212866066,7.621257418232127
4,601318.SH,-10473.55171829986,2020-02-28,2020-03-02,2020-04-17,TAKE_PROFIT_DYN,4,778492.8685333799,-1.3453625770562572,33,-14.845114027953631,-15.814522556095568,5.168069928029095,5.563486564508047,-8.329591756558031,15,3,0.0,27,,-12.176342419137754,5.168069928029095,-5.575746997957031,27,6.908849141564303,6.513432505085353,0.6745429153396538,0.676824483393745,34,2.2707444725793335,2.2707444725793335,2.2707444725793335,0.2809871311400203,2.2707444725793335,0.2809871311400203,-1.903571628342271,2.2707444725793335,-1.903571628342271,2.7020904696745784,3.606525624874246,-1.903571628342271,1.5054531874103771,3.606525624874246,-1.903571628342271,1.5889395094288217,6.751177087568516,-2.5575478174866495,8.560047397967875,19.552413130394775,-2.5575478174866495,9.194599627560528
5,600036.SH,21357.455718600017,2020-03-19,2020-03-20,2020-04-27,TAKE_PROFIT_DYN,1,199911.62351160002,10.683448687695108,25,1.1069467445306458,-0.09990009990009652,12.571991766622649,13.912932704879012,10.851899778074303,1,25,0.0,0,0.0,0.0,10.71222638435383,10.71222638435383,0,3.2294840171839034,1.8885430789275404,0.8352781803046996,0.769533822163176,26,2.3984709785313862,2.3984709785313862,2.3984709785313862,6.118202794939953,6.118202794939953,2.3984709785313862,4.182732581524129,6.118202794939953,2.3984709785313862,2.6101630331237358,6.118202794939953,2.3984709785313862,3.48717297357779,6.118202794939953,0.0698583780154749,1.7331530926697036,7.87222267584804,0.0698583780154749,3.57789813983167,24.17251087945951,0.0698583780154749,16.585484656600094
6,002475.SZ,29602.222303680028,2020-03-17,2020-03-18,2020-04-28,TAKE_PROFIT_DYN,1,198369.68271119997,14.92275528149982,28,-9.801484604634203,-11.112509537706384,19.30326890956815,20.902719327916188,15.097658247264567,3,28,2.0,2,,-9.801484604634215,14.952635197872954,14.952635197872954,2,5.979964046416368,4.38051362806833,0.8494914713525832,0.8132150149069353,29,5.020815079986685,5.020815079986685,5.020815079986685,8.232948469634849,8.232948469634849,5.020815079986685,7.640640185018888,8.232948469634849,5.020815079986685,9.873186796263722,12.652479516384862,5.020815079986685,1.3758410208114302,12.652479516384862,0.5329407696271771,16.980886211655456,25.911072656634794,-2.2919141262336518,27.460186631784268,36.68652721907159,-2.2919141262336518,12.199999999999998
7,000858.SZ,104932.64545848005,2020-03-17,2020-03-18,2020-04-28,TAKE_PROFIT_DYN,2,391140.31804847997,26.82736619482785,28,-9.886932855130738,-12.958066668314016,22.668850584044932,24.628022154523933,21.761533519484068,1,28,5.0,5,4.0,-9.886932855130725,26.691653401660574,26.691653401660574,4,-2.1993440403039166,-4.158515610782917,1.12773508026776,1.058514841772192,29,-1.7915895766884127,-1.7915895766884127,-1.7915895766884127,0.17257863177781996,0.17257863177781996,-1.7915895766884127,3.571821767462935,3.571821767462935,-1.7915895766884127,5.253323702386048,6.036091844505442,-1.7915895766884127,7.413183946382107,9.935436848766809,-1.7915895766884127,24.02526340691571,24.02526340691571,-1.7915895766884127,55.10405779032237,62.315671692255556,-1.7915895766884127,10.073677160080372
8,000063.SZ,6387.973052219953,2020-03-17,2020-03-18,2020-05-07,TAKE_PROFIT_DYN,1,197178.1830018,3.2396956676295363,32,-8.206352120433259,-10.59060271470772,6.93363915320957,7.648914331491907,3.3968179791568742,17,5,4.0,20,,-8.206352120433259,6.933639153209548,3.26653798850316,20,4.4092186638623705,3.6939434855800335,0.7560141601923636,0.7582601198982364,33,-2.021348692622582,-2.021348692622582,-2.021348692622582,-2.643947794834678,-0.7530912621905417,-2.643947794834678,-6.195068600044406,-0.7530912621905417,-6.195068600044406,-9.377241789128444,-0.7530912621905417,-9.377241789128444,-11.821519745961107,-0.7530912621905417,-16.871490241681443,2.9363848990663133,2.9363848990663133,-16.871490241681443,-8.916057268971333,8.655072949014443,-16.871490241681443,19.524617996604405
9,000725.SZ,18432.437134320033,2020-03-16,2020-03-17,2020-05-11,TAKE_PROFIT_DYN,2,399666.04916237993,4.611959703094805,35,-15.597528962684093,-20.127605091805567,1.3306502566645895,3.71490085093904,-4.487159618424541,29,0,0.0,32,,-15.597528962684116,1.3306502566645895,-2.8323257965103377,32,-0.897058852155765,-3.2813094464302157,1.193837116438354,1.0376243526712317,36,-2.1465355629944116,-2.1465355629944116,-2.1465355629944116,-3.644292671724092,-2.1465355629944116,-3.644292671724092,-5.142049780453773,-1.8969093782061242,-5.142049780453773,-7.388685443548281,-1.8969093782061242,-7.388685443548281,18.322811589644527,18.322811589644527,-7.638311628336558,31.802625568211628,31.802625568211628,-7.638311628336558,19.071690144009334,32.80113030736474,-7.638311628336558,15.977443609022568
10,002506.SZ,-39117.525220439886,2020-03-26,2020-03-27,2020-05-21,TAKE_PROFIT_DYN,3,599592.69157788,-6.524016348081019,35,-29.784501213072634,-31.211645497359775,-4.952190666476374,1.327244184387033,-19.589553303839015,22,0,,36,,-35.26901604171198,0.0,-25.963796236771742,36,7.851260532468052,1.5718256816046443,0.9367023991321622,0.7587114800394575,36,-5.224373309479691,-5.224373309479691,-5.224373309479691,-5.5793382034516785,-5.224373309479691,-6.9991977793396165,-9.483952037143528,-5.224373309479691,-9.483952037143528,-6.289267991395642,-5.224373309479691,-9.483952037143528,-8.06409246125559,-5.224373309479691,-10.193881825087503,1.16499478201606,16.42848522281146,-10.193881825087503,101.62005977608813,103.39488424594809,-10.193881825087503,9.947643979057599
