levels_used,n,ret_mean,ret_median,win_rate,mae_median,mfe_median,econ_mae_median,hold_median
1,88,10.558196988668854,8.68249732301543,95.45454545454545,-2.950544497811264,12.300883140072516,-1.2188799956626584,17.5
2,95,5.968602368512772,5.218510332201447,81.05263157894737,-10.04809725253275,7.143020271694334,-7.957027812808482,27.0
3,52,3.9336111476285205,4.085188786789496,69.23076923076923,-13.771125945572638,5.11443281723033,-12.691469575829961,31.5
4,25,2.915512631039773,2.027751640672817,64.0,-19.948061663935224,5.183570229162937,-19.593756088426584,48.0
5,39,-7.487354400333709,-6.553924195303395,35.8974358974359,-28.79470162031823,3.5840515233140025,-29.6919112098061,68.0
