life_pct,n,p10,p25,p50,p75,p90,mean
0,299,0.9680552745711352,0.9864317412106104,0.999933424798088,1.0169354994311295,1.0289456153562506,0.9994241775933224
10,299,0.9286473496216051,0.9617722687786383,0.9942575410201311,1.0247955868930199,1.0575705432217524,0.9926800096345231
20,299,0.8996083318659553,0.9528546296248479,0.9946337815190276,1.0248275043634856,1.0634075584541172,0.9867830177312296
30,299,0.8635818774145063,0.9331779839460708,0.9898336957160487,1.0256587644576491,1.070868103255276,0.9765725835289111
40,299,0.8398714305353961,0.9166497691996585,0.982451283656103,1.0208849345284254,1.072673649344685,0.9677437319786113
50,299,0.8279207418471272,0.9099807050230304,0.9737814992838179,1.0315911826735302,1.073408386330116,0.9617124531065391
60,299,0.806768835125271,0.8777656106203433,0.9693355425062746,1.0287861079302405,1.0729547291888355,0.9532790114788319
70,299,0.7738937472308829,0.8793708522702028,0.9599622938037575,1.0231333746038698,1.0742439630098735,0.9432158603307829
80,299,0.7622302319534631,0.868852648352141,0.970943949667354,1.0242719423812092,1.0896097413426094,0.9446428953589634
90,299,0.7827525994530105,0.8879735836324416,0.9791115645639596,1.0443048450426153,1.0967061137760759,0.9543826430391739
100,299,0.8291694229524142,0.9455104623746464,1.0209302892229726,1.087325807085974,1.1412379702591673,1.008918828267253
