year,n,ret_mean,ret_median,mae_p50,mae_p90,mae_p95,mfe_p50,hold_median,under_median,ttbe_median,giveback_median,win_rate
2020,33,6.710317477794578,5.218510332201447,-6.9491054890197805,-1.0173782358119492,-0.5984652052067736,8.108341874575654,25.0,5.0,0.0,2.1634936823654414,87.87878787878788
2021,58,4.515692118563896,5.403603499759667,-12.135940982094823,-1.827965159593337,-1.0968033574307743,8.146034125123924,29.5,20.5,0.0,2.3315274504256127,75.86206896551724
2022,58,4.559595336010229,4.1460599538233485,-12.251432120396649,-2.41730508798403,-2.0946536412767975,7.07245659748017,35.5,23.5,0.0,2.5284384700201032,70.6896551724138
2023,46,2.4188320273119386,3.7490766983203083,-11.436574195758448,-2.9254159851174633,-2.6245675636995203,4.972984268138458,41.0,25.5,1.0,2.068073200778652,69.56521739130434
2024,49,6.44719660184595,6.430946014868081,-9.446093370785603,-1.248060434005591,-0.4888939338854967,8.333830348755722,25.0,10.0,0.0,1.289878757397192,81.63265306122449
2025,35,8.17159138072771,5.1627907747067665,-8.972606341027378,-1.4824824215378356,-0.9591778713240535,6.95326625317727,21.0,13.0,0.0,1.3086899480074248,85.71428571428571
2026,20,1.0287789823222224,1.4133863710598358,-13.223116836550775,-3.908457217910561,-2.8863209261277984,10.078877351604632,25.5,9.5,0.5,8.450910478492396,55.00000000000001
