total_return_pct,cagr_pct,sharpe,maxdd_pct,n_trades,win_rate_pct,profit_factor,payoff_ratio,avg_holding_days,sim_id,seed
62.269,10.173,0.5472,-35.679,83,71.08,1.733,0.705,30.0,72,114
63.776,10.377,0.5652,-24.422,80,68.75,1.8639,0.8472,33.5,73,115
-16.335,-3.506,-0.0093,-52.123,80,57.5,0.8355,0.6176,34.7,74,116
-21.995,-4.85,-0.084,-62.657,82,65.85,0.8663,0.4492,33.3,75,117
-31.668,-7.338,-0.1643,-59.037,76,64.47,0.6865,0.3782,33.8,76,118
109.508,15.954,0.8098,-31.969,86,74.42,1.9485,0.6698,30.5,77,119
22.621,4.166,0.3015,-38.16,86,63.95,1.1888,0.67,31.0,78,120
36.096,6.362,0.3909,-31.486,85,69.41,1.3703,0.6038,31.8,79,121
49.147,8.33,0.4569,-53.247,82,71.95,1.4353,0.5595,31.4,80,122
17.119,3.213,0.256,-42.438,89,68.54,1.1344,0.5207,30.2,81,123
8.23,1.596,0.1846,-30.324,74,66.22,1.0894,0.5558,36.8,82,124
-28.284,-6.437,-0.1207,-46.711,73,64.38,0.7334,0.4057,34.7,83,125
92.206,13.97,0.7596,-28.848,87,75.86,2.3027,0.7327,30.0,84,126
-24.913,-5.573,-0.0892,-48.283,75,62.67,0.7472,0.4451,34.9,85,127
53.408,8.942,0.509,-34.817,87,68.97,1.505,0.6772,30.4,86,128
-26.474,-5.969,-0.1098,-52.142,75,65.33,0.7791,0.4134,35.8,87,129
37.616,6.599,0.3968,-37.986,82,69.51,1.3999,0.614,32.1,88,130
-23.208,-5.148,-0.0875,-49.59,78,60.26,0.7672,0.506,34.7,89,131
-8.942,-1.857,0.0308,-47.263,84,65.48,0.9274,0.489,31.5,90,132
-9.753,-2.033,0.0444,-41.318,79,65.82,0.8903,0.4622,32.1,91,133
114.441,16.495,0.8599,-30.995,93,83.87,1.9104,0.3674,30.0,92,134
2.644,0.524,0.1499,-45.017,80,62.5,1.0221,0.6133,34.4,93,135
-17.646,-3.811,-0.0318,-42.432,67,62.69,0.8162,0.4858,41.9,94,136
89.422,13.638,0.7434,-37.006,86,77.91,2.0112,0.5704,30.9,95,137
-39.506,-9.57,-0.2892,-55.935,74,59.46,0.6724,0.4584,37.2,96,138
-44.293,-11.05,-0.4012,-57.86,54,57.41,1.063,0.7886,32.2,97,139
98.919,14.756,0.7954,-24.566,81,69.14,2.361,1.054,32.3,98,140
-21.984,-4.847,-0.0765,-47.188,82,60.98,0.8224,0.5263,33.7,99,141
54.203,9.055,0.5059,-39.287,82,73.17,1.7231,0.6318,31.5,100,142
11.235,2.154,0.2151,-42.054,83,57.83,1.1272,0.8219,32.2,101,143
-43.427,-10.775,-0.3228,-55.912,76,65.79,0.7816,0.4064,28.4,102,144
22.85,4.205,0.2979,-45.743,80,71.25,1.2343,0.498,33.3,103,145
-28.517,-6.498,-0.1487,-60.131,72,61.11,0.7097,0.4516,36.2,104,146
-13.673,-2.9,0.0257,-45.95,81,60.49,0.8714,0.5691,34.0,105,147
76.258,12.012,0.6877,-33.389,87,67.82,1.5462,0.7338,30.8,106,148
68.845,11.053,0.5892,-30.54,86,75.58,1.626,0.5253,30.3,107,149
58.1,9.601,0.4977,-39.178,95,72.63,1.6938,0.6382,27.6,108,150
31.916,5.7,0.3621,-41.49,83,68.67,1.306,0.5957,32.7,109,151
51.572,8.68,0.5187,-32.251,87,72.41,1.508,0.5745,29.6,110,152
60.972,9.996,0.577,-30.607,91,74.73,1.7024,0.5758,28.9,111,153
-19.941,-4.354,-0.043,-46.727,80,58.75,0.821,0.5764,34.0,112,154
46.5,7.942,0.4889,-27.379,81,66.67,1.5454,0.7727,32.6,113,155
21.966,4.054,0.288,-33.604,84,71.43,1.1961,0.4785,32.6,114,156
-51.512,-13.487,-0.2973,-68.683,78,58.97,0.5881,0.4091,36.8,115,157
57.148,9.468,0.5201,-32.92,77,67.53,1.5626,0.7513,34.2,116,158
10.573,2.032,0.2079,-42.723,94,69.15,1.0888,0.4858,28.7,117,159
-10.077,-2.103,0.0152,-42.84,78,57.69,0.9189,0.6739,34.1,118,160
-58.191,-16.015,-0.4797,-68.231,67,62.69,1.0201,0.6072,33.8,119,161
-48.065,-12.289,-0.4058,-61.733,77,49.35,0.5836,0.5989,35.9,120,162
53.484,8.953,0.5316,-36.602,86,68.6,1.5127,0.6923,32.0,121,163
76.701,12.068,0.6423,-32.017,93,79.57,1.7585,0.4515,30.1,122,164
-4.962,-1.013,0.1037,-48.306,89,69.66,0.9609,0.4185,29.6,123,165
-43.057,-10.658,-0.33,-51.483,67,61.19,0.7528,0.4774,39.4,124,166
62.412,10.193,0.5568,-34.832,83,71.08,1.7347,0.7056,33.0,125,167
31.124,5.573,0.3607,-32.118,81,72.84,1.3113,0.4889,34.1,126,168
-62.23,-17.706,-0.5698,-67.604,71,60.56,0.478,0.3113,37.2,127,169
37.353,6.558,0.3971,-41.974,87,68.97,1.4138,0.6362,30.2,128,170
87.295,13.382,0.6347,-33.407,90,74.44,1.9292,0.6623,30.1,129,171
-26.012,-5.851,-0.122,-43.545,69,57.97,0.9385,0.6804,31.2,130,172
24.9,4.55,0.3095,-27.314,85,70.59,1.2536,0.5223,32.9,131,173
91.547,13.892,0.7167,-43.305,95,72.63,1.7918,0.6752,28.4,132,174
58.201,9.615,0.5168,-35.545,87,67.82,1.5332,0.7276,30.3,133,175
-2.839,-0.575,0.1023,-43.775,84,64.29,0.9764,0.5424,32.2,134,176
74.355,11.769,0.6261,-33.873,91,72.53,1.79,0.678,29.4,135,177
44.936,7.71,0.4718,-35.129,73,73.97,1.6724,0.5884,30.1,136,178
44.583,7.658,0.4641,-33.229,76,77.63,1.7753,0.5115,29.3,137,179
7.145,1.391,0.1842,-44.266,84,72.62,1.0638,0.4011,32.0,138,180
65.547,10.615,0.5528,-23.302,82,60.98,1.9451,1.2449,33.0,139,181
-39.999,-9.718,-0.3018,-46.101,72,63.89,0.5814,0.3286,35.5,140,182
-3.758,-0.764,0.0913,-33.182,81,66.67,0.9508,0.4754,32.0,141,183
54.303,9.069,0.4817,-31.448,80,72.5,1.4627,0.5548,32.9,142,184
-23.158,-5.136,-0.0881,-54.514,82,60.98,0.7512,0.4808,32.8,143,185
-21.188,-4.654,-0.1022,-38.997,81,60.49,0.7823,0.5109,32.1,144,186
58.458,9.65,0.5545,-41.215,90,73.33,1.5452,0.5619,29.7,145,187
-79.241,-26.996,-0.6554,-82.847,51,66.67,0.5439,0.2719,34.5,146,188
56.912,9.436,0.5338,-31.715,100,73.0,1.4452,0.5345,24.9,147,189
-50.707,-13.201,-0.4071,-64.673,69,60.87,0.5422,0.3486,38.6,148,190
85.089,13.113,0.6969,-25.488,81,75.31,2.4653,0.8083,32.2,149,191
92.629,14.021,0.7734,-24.149,90,77.78,1.9652,0.5615,28.9,150,192
11.447,2.193,0.2136,-31.035,56,69.64,1.4192,0.6186,32.8,151,193
10.362,1.993,0.2053,-32.557,85,70.59,1.1081,0.4617,30.8,152,194
-0.156,-0.031,0.1277,-43.301,86,68.6,0.9987,0.457,31.0,153,195
-3.299,-0.669,0.0885,-48.319,79,58.23,0.9786,0.702,34.4,154,196
8.922,1.725,0.1961,-36.073,81,64.2,1.0843,0.6047,31.9,155,197
41.113,7.136,0.427,-34.556,90,66.67,1.399,0.6995,28.8,156,198
78.933,12.35,0.6501,-23.585,88,68.18,1.8561,0.8662,31.0,157,199
28.049,5.073,0.3331,-41.811,80,66.25,1.3212,0.6731,33.0,158,200
-58.45,-16.119,-0.5716,-63.867,62,58.06,0.7757,0.5602,39.8,159,201
-78.044,-26.172,-0.7272,-81.696,64,51.56,0.3895,0.3659,41.9,160,202
36.083,6.36,0.3868,-40.911,89,75.28,1.2497,0.4103,29.8,161,203
46.754,7.979,0.4562,-35.522,83,73.49,1.4557,0.525,32.3,162,204
-1.582,-0.319,0.1017,-34.652,67,73.13,1.1954,0.4391,32.8,163,205
43.489,7.494,0.4559,-36.123,87,66.67,1.4564,0.7282,30.0,164,206
6.904,1.345,0.176,-41.33,76,61.84,1.0704,0.6605,35.6,165,207
1.766,0.351,0.1363,-32.72,86,70.93,1.2459,0.5106,29.8,166,208
-26.844,-6.064,-0.1529,-57.14,83,66.27,0.792,0.4032,31.9,167,209
-5.319,-1.088,0.0845,-45.627,86,69.77,0.9597,0.4159,30.8,168,210
45.841,7.845,0.435,-44.393,84,73.81,1.4466,0.5133,31.7,169,211
55.166,9.191,0.5105,-28.577,80,70.0,1.615,0.6921,34.0,170,212
26.739,4.857,0.32,-34.404,79,67.09,1.2936,0.6346,34.0,171,213
65.662,10.63,0.5558,-36.495,79,73.42,1.6746,0.6063,35.1,172,214
-32.643,-7.604,-0.2139,-48.055,65,67.69,0.8625,0.4116,36.2,173,215
23.281,4.278,0.2997,-42.346,87,62.07,1.1914,0.7281,31.4,174,216
12.875,2.454,0.2243,-36.444,89,68.54,1.0921,0.5013,30.1,175,217
