metric,control_value,random_median,random_mean,random_p5,random_p25,random_p75,random_p95,control_percentile,p_random_better_pct
total_return_pct,82.662,27.418,38.3254,-51.9659,-8.295,73.5018,170.8161,77.5,22.5
sharpe,0.4994,0.2766,0.2741,-0.2837,0.087,0.4776,0.8215,76.0,24.0
maxdd_pct,-37.208,-45.8185,-48.0473,-72.6641,-54.6312,-37.7795,-30.1441,76.5,23.5
profit_factor,1.3678,1.1599,1.2852,0.6574,0.9232,1.5447,2.1855,69.5,30.5
win_rate_pct,67.01,69.195,68.9881,58.2465,65.3925,73.05,78.7695,37.5,62.5
n_trades,97.0,110.0,106.925,79.9,103.0,115.0,122.05,16.0,84.0
