label,mean_positions,median_positions,pct_fully_occupied,pct_zero_positions,mean_cash,mean_cash_ratio,mean_stock_val
Amount_Control,2.17,3.0,55.1,11.9,491831.0,40.4,740996.0
Random_avg,2.2,,15.6,,,,
