ts_code,entry_date,exit_date,hold_days,return_pct,mae_pct,mfe_pct,mae_day,mfe_day,hit_mid,hit_upper,days_to_mid,days_to_upper,levels_used
300750.SZ,2020-03-02,2020-04-15,31,-4.33,-23.22,4.14,15,1,True,True,22,31,3
601318.SH,2020-03-02,2020-04-17,33,-3.04,-16.11,3.61,15,3,True,True,3,33,3
000725.SZ,2020-03-17,2020-05-11,35,13.64,-16.71,0.0,29,0,True,True,22,35,2
002415.SZ,2020-05-26,2020-06-18,17,6.9,-0.76,8.38,3,17,True,True,9,17,1
002714.SZ,2020-05-12,2020-07-06,37,-25.08,-2.76,29.49,2,37,True,True,13,15,1
002456.SZ,2020-09-02,2020-10-28,34,-0.48,-13.58,0.79,6,1,True,True,21,34,4
300136.SZ,2020-10-13,2020-11-09,19,1.51,-10.29,0.0,13,0,True,True,17,19,2
601012.SH,2020-11-16,2020-12-09,17,11.56,-6.18,9.72,2,17,True,True,9,17,2
300122.SZ,2020-11-12,2020-12-21,27,21.59,-12.27,15.27,10,27,True,True,15,17,2
002475.SZ,2020-12-15,2020-12-23,6,8.52,0.0,10.19,0,6,True,True,1,5,1
000651.SZ,2020-12-10,2021-01-05,17,4.77,-5.76,3.87,11,17,True,True,15,17,2
601318.SH,2021-01-29,2021-02-25,14,9.42,-3.21,10.19,3,14,True,True,9,14,3
300059.SZ,2021-02-26,2021-04-02,25,-5.47,-10.9,4.67,18,3,True,True,21,25,1
300750.SZ,2021-02-01,2021-04-14,46,2.68,-17.57,17.79,32,7,True,True,2,8,2
002475.SZ,2021-01-29,2021-04-19,50,-17.8,-38.98,1.32,33,2,True,True,9,50,4
601166.SH,2021-04-16,2021-05-12,15,10.12,0.0,8.43,0,12,True,True,10,15,1
600031.SH,2021-05-14,2021-06-01,12,13.93,-0.65,8.73,5,12,True,True,8,12,1
002594.SZ,2021-05-06,2021-06-08,23,34.99,-4.03,35.21,1,23,True,True,7,14,2
002340.SZ,2021-06-08,2021-07-06,19,5.29,-7.94,1.35,5,18,True,True,17,19,3
000661.SZ,2021-05-25,2021-07-19,38,1.75,-17.99,2.69,28,6,True,True,6,38,3
600031.SH,2021-06-15,2021-08-03,35,4.43,-9.74,5.86,33,8,True,True,8,35,3
002241.SZ,2021-07-23,2021-08-05,9,10.26,-3.11,6.11,2,9,True,True,8,9,1
002460.SZ,2021-08-17,2021-08-30,9,24.02,0.0,34.07,0,9,True,True,2,8,1
300750.SZ,2021-08-17,2021-09-14,20,9.86,0.0,10.47,0,6,True,True,4,20,1
000858.SZ,2021-07-09,2021-09-27,54,-8.45,-27.44,5.62,51,7,True,True,7,54,5
600111.SH,2021-09-30,2021-10-25,12,22.28,-4.34,17.6,3,12,True,True,10,12,1
002466.SZ,2021-09-23,2021-11-09,28,5.28,-15.64,2.56,22,28,True,True,14,28,2
601919.SH,2021-09-29,2021-11-30,39,3.04,-11.67,5.02,28,39,True,True,17,39,2
000651.SZ,2021-10-28,2021-12-09,30,3.77,-5.32,1.29,23,2,True,True,14,30,2
601012.SH,2021-12-02,2022-03-01,57,5.08,-21.63,5.47,45,7,True,True,7,57,4
002594.SZ,2021-12-17,2022-05-05,88,-1.6,-23.72,0.36,56,4,True,True,20,46,4
000858.SZ,2022-03-04,2022-05-30,56,-6.34,-15.42,0.0,17,0,True,True,21,27,2
300750.SZ,2021-12-21,2022-06-02,106,-18.13,-39.0,2.98,88,2,True,True,17,28,3
002415.SZ,2022-05-09,2022-06-08,21,5.9,-8.03,5.24,4,21,True,True,16,19,3
002241.SZ,2022-06-24,2022-08-05,30,2.84,-8.19,2.3,23,2,True,True,19,26,1
600036.SH,2022-07-14,2022-08-31,34,-1.59,-6.06,3.92,29,8,True,True,31,34,3
601888.SH,2022-08-09,2022-09-26,33,7.19,-8.79,1.89,19,2,True,True,13,33,2
300274.SZ,2022-09-01,2022-10-12,23,13.21,-3.76,12.7,9,23,True,True,16,23,2
601899.SH,2022-09-27,2022-10-27,17,8.5,-4.71,4.84,1,17,True,True,14,17,2
002594.SZ,2022-07-13,2022-11-04,76,-4.59,-22.56,9.14,71,2,True,True,2,76,5
000858.SZ,2022-10-28,2022-11-30,23,14.32,-2.91,14.08,1,23,True,True,5,23,1
600519.SH,2022-10-13,2022-12-01,35,4.87,-20.59,2.21,12,1,True,True,21,35,3
300274.SZ,2022-12-07,2023-01-03,18,12.35,-13.73,8.93,12,18,True,True,14,18,2
002241.SZ,2022-11-14,2023-01-05,37,8.52,-6.71,5.66,29,3,True,True,16,37,2
601012.SH,2022-12-23,2023-01-18,17,11.32,0.0,10.34,0,17,True,True,9,17,1
300014.SZ,2023-01-12,2023-02-01,9,6.97,-1.79,6.13,2,9,True,True,7,9,1
300750.SZ,2023-02-20,2023-03-31,29,3.62,-10.58,0.0,19,0,True,True,22,29,3
300059.SZ,2023-03-08,2023-04-03,18,6.66,-5.66,13.65,10,18,True,True,12,18,2
000858.SZ,2023-04-11,2023-05-22,26,-2.65,-6.94,0.0,9,0,True,True,17,26,2
600519.SH,2023-04-13,2023-06-16,43,6.52,-5.46,4.34,31,43,True,True,9,43,2
600809.SH,2023-05-23,2023-07-25,43,6.61,-11.99,7.0,26,43,True,True,17,43,3
300418.SZ,2023-06-27,2023-08-14,34,-7.72,-18.84,0.0,31,0,True,True,20,34,2
600276.SH,2023-08-01,2023-08-28,19,2.23,-10.79,0.0,16,0,True,True,18,19,3
002475.SZ,2023-09-08,2023-10-11,17,6.73,-2.9,8.42,5,17,True,True,11,17,1
300014.SZ,2023-02-21,2023-11-06,172,-28.57,-43.34,0.0,164,0,True,True,23,39,5
601318.SH,2023-11-10,2024-01-25,53,-4.54,-10.7,2.38,42,3,True,True,34,35,3
600519.SH,2023-10-16,2024-02-06,80,-3.91,-7.79,4.75,66,15,True,True,12,12,2
002594.SZ,2023-08-15,2024-03-12,137,-13.94,-31.71,3.23,116,14,True,True,11,100,5
601012.SH,2024-01-30,2024-03-12,24,13.5,-10.18,10.33,4,24,True,True,10,18,2
601318.SH,2024-03-25,2024-04-29,23,8.1,-6.58,4.06,12,23,True,True,16,23,2
000625.SZ,2024-05-07,2024-07-10,45,1.74,-6.61,4.08,22,2,True,True,28,45,2
603019.SH,2024-03-28,2024-07-17,73,-3.17,-20.91,0.04,57,2,True,True,13,53,2
601919.SH,2024-07-15,2024-09-20,47,-0.06,-14.02,0.0,42,0,True,True,25,47,3
601138.SH,2024-07-19,2024-09-24,45,-7.55,-23.47,1.01,35,1,True,True,30,45,3
601899.SH,2024-07-24,2024-09-25,43,7.24,-13.83,3.04,33,43,True,True,17,43,3
600418.SH,2024-11-28,2025-01-22,38,19.29,0.0,17.63,0,9,True,False,8,-1,1
