ts_code,category,years_with_data,min_rows_per_year
001206.SZ,mid_year_IPO_or_delisted,4,156
001207.SZ,mid_year_IPO_or_delisted,4,131
001208.SZ,mid_year_IPO_or_delisted,4,130
001209.SZ,mid_year_IPO_or_delisted,4,109
001210.SZ,mid_year_IPO_or_delisted,4,105
001211.SZ,mid_year_IPO_or_delisted,4,100
001212.SZ,mid_year_IPO_or_delisted,4,88
001213.SZ,mid_year_IPO_or_delisted,4,76
001215.SZ,mid_year_IPO_or_delisted,4,78
001216.SZ,mid_year_IPO_or_delisted,4,54
001217.SZ,mid_year_IPO_or_delisted,4,63
001218.SZ,mid_year_IPO_or_delisted,4,56
001219.SZ,mid_year_IPO_or_delisted,4,52
001222.SZ,mid_year_IPO_or_delisted,3,91
001223.SZ,mid_year_IPO_or_delisted,3,15
001225.SZ,mid_year_IPO_or_delisted,2,211
001226.SZ,mid_year_IPO_or_delisted,3,132
001227.SZ,mid_year_IPO_or_delisted,3,233
001228.SZ,mid_year_IPO_or_delisted,3,166
001229.SZ,mid_year_IPO_or_delisted,3,99
001230.SZ,mid_year_IPO_or_delisted,3,115
001231.SZ,mid_year_IPO_or_delisted,3,90
001234.SZ,mid_year_IPO_or_delisted,3,237
001236.SZ,mid_year_IPO_or_delisted,3,100
001238.SZ,mid_year_IPO_or_delisted,3,70
001239.SZ,mid_year_IPO_or_delisted,2,14
001255.SZ,mid_year_IPO_or_delisted,3,61
001256.SZ,mid_year_IPO_or_delisted,3,20
001258.SZ,mid_year_IPO_or_delisted,3,107
001259.SZ,mid_year_IPO_or_delisted,3,82
001260.SZ,mid_year_IPO_or_delisted,2,215
001266.SZ,mid_year_IPO_or_delisted,3,208
001267.SZ,mid_year_IPO_or_delisted,4,33
001268.SZ,mid_year_IPO_or_delisted,3,126
001269.SZ,mid_year_IPO_or_delisted,3,61
001270.SZ,mid_year_IPO_or_delisted,3,144
001277.SZ,mid_year_IPO_or_delisted,1,79
001278.SZ,mid_year_IPO_or_delisted,2,201
001279.SZ,mid_year_IPO_or_delisted,1,58
001282.SZ,mid_year_IPO_or_delisted,2,150
001283.SZ,mid_year_IPO_or_delisted,3,79
001286.SZ,mid_year_IPO_or_delisted,2,179
001287.SZ,mid_year_IPO_or_delisted,2,179
001288.SZ,mid_year_IPO_or_delisted,4,45
001289.SZ,mid_year_IPO_or_delisted,3,228
001296.SZ,mid_year_IPO_or_delisted,4,6
001298.SZ,mid_year_IPO_or_delisted,3,45
001299.SZ,mid_year_IPO_or_delisted,3,45
001300.SZ,mid_year_IPO_or_delisted,3,53
001301.SZ,mid_year_IPO_or_delisted,3,3
001306.SZ,mid_year_IPO_or_delisted,2,32
001308.SZ,mid_year_IPO_or_delisted,3,194
001309.SZ,mid_year_IPO_or_delisted,3,125
001311.SZ,mid_year_IPO_or_delisted,2,208
001313.SZ,mid_year_IPO_or_delisted,3,216
001314.SZ,mid_year_IPO_or_delisted,2,217
001316.SZ,mid_year_IPO_or_delisted,3,130
001317.SZ,mid_year_IPO_or_delisted,4,19
001318.SZ,mid_year_IPO_or_delisted,3,154
001319.SZ,mid_year_IPO_or_delisted,3,160
001322.SZ,mid_year_IPO_or_delisted,3,48
001323.SZ,mid_year_IPO_or_delisted,3,131
001324.SZ,mid_year_IPO_or_delisted,2,152
001326.SZ,mid_year_IPO_or_delisted,2,37
001328.SZ,mid_year_IPO_or_delisted,2,179
001330.SZ,mid_year_IPO_or_delisted,3,91
001331.SZ,mid_year_IPO_or_delisted,3,76
001332.SZ,mid_year_IPO_or_delisted,3,69
001333.SZ,mid_year_IPO_or_delisted,3,17
001336.SZ,mid_year_IPO_or_delisted,3,109
001337.SZ,mid_year_IPO_or_delisted,2,204
001338.SZ,mid_year_IPO_or_delisted,3,33
001339.SZ,mid_year_IPO_or_delisted,3,94
001358.SZ,mid_year_IPO_or_delisted,2,7
001359.SZ,mid_year_IPO_or_delisted,1,186
001360.SZ,mid_year_IPO_or_delisted,2,179
001366.SZ,mid_year_IPO_or_delisted,2,202
001367.SZ,mid_year_IPO_or_delisted,2,179
001368.SZ,mid_year_IPO_or_delisted,2,198
001373.SZ,mid_year_IPO_or_delisted,2,144
001376.SZ,mid_year_IPO_or_delisted,2,41
001378.SZ,mid_year_IPO_or_delisted,2,45
001379.SZ,mid_year_IPO_or_delisted,1,229
001380.SZ,mid_year_IPO_or_delisted,2,156
001387.SZ,mid_year_IPO_or_delisted,1,235
001389.SZ,mid_year_IPO_or_delisted,1,183
001391.SZ,mid_year_IPO_or_delisted,1,2
001896.SZ,suspended_or_missing_days,5,233
001979.SZ,suspended_or_missing_days,5,232
002002.SZ,suspended_or_missing_days,5,13
